mlt,mlat_eb,ef_eb,mlat_05,ef_05,mlat_10,ef_10,mlat_15,ef_15,mlat_20,ef_20,mlat_25,ef_25,mlat_30,ef_30,mlat_35,ef_35,mlat_40,ef_40,mlat_45,ef_45,mlat_50,ef_50,mlat_55,ef_55,mlat_60,ef_60,mlat_65,ef_65,mlat_70,ef_70,mlat_75,ef_75,mlat_80,ef_80,mlat_85,ef_85,mlat_90,ef_90,mlat_95,ef_95,mlat_pb,ef_pb
0.125,0.00468662435600153,-0.04366514385132669,0.004016872638625245,-0.16159893096678105,0.0037587410091805525,-0.2251639596816474,0.003552429080909848,-0.26336922833812115,0.003361363527526453,-0.27438862688578286,0.003188123532755154,-0.3043183759820221,0.003007409916229593,-0.30428545141635266,0.0028225774189158466,-0.30822593375465873,0.0026287227165751477,-0.30693415321165846,0.0024130801679951948,-0.3215488096834523,0.002190953766520275,-0.3348228717300354,0.0019577264057893226,-0.38242184678965935,0.0017326596018336345,-0.4314873562664812,0.0015107036903421135,-0.47703046614605626,0.0013103593285548017,-0.5037158871263492,0.0011150263490768292,-0.49997215299265263,0.0009510796213357655,-0.48574497337185696,0.0007871501940678434,-0.4558891825955273,0.0006115812634700747,-0.38916240153800796,0.00042310678399504285,-0.27546122907667797,-0.0005379403082513245,-0.05914652146638331
0.375,0.00460468178432195,-0.04295035766637284,0.003955585832838273,-0.15933830720291337,0.003718780520756678,-0.22609738152877576,0.0035372938230013615,-0.26025344450787863,0.003369231305055082,-0.2687584425010578,0.0032246196392900993,-0.2969083169388917,0.003072048710303659,-0.29327298013372005,0.0029121821387168047,-0.2932372072133799,0.00273920412227641,-0.2869333527797258,0.002547438661890291,-0.2943095828719681,0.0023432457758528788,-0.304101178489802,0.00212721411893622,-0.3388234667605511,0.0019144848554683948,-0.3733461713890738,0.0017076973995618454,-0.41170627595915904,0.0015138925608174903,-0.4303356955289224,0.001314704040444207,-0.4374710137034819,0.0011488713797151741,-0.4295113473185369,0.000988893613145528,-0.41013803121883263,0.0008256675389537884,-0.3493526721195749,0.0006516596835987354,-0.2485324087988007,-0.0003474229619356264,-0.061092679839549885
0.625,0.004462136946853518,-0.04315931137380831,0.0038482109551876325,-0.14968203884648773,0.003637923445468452,-0.22013025236594572,0.0034804282867364087,-0.2540089092194906,0.0033356879985183504,-0.26353685919555914,0.003213611295525051,-0.28567053838376155,0.0030904279219708883,-0.2806761693467015,0.0029552362202051393,-0.27892898170496355,0.0028055826994789457,-0.27267943073222667,0.002649339612280452,-0.27405029494274474,0.0024742981879540167,-0.283871133765065,0.0022846430349264322,-0.30783204996782193,0.0020980386549591277,-0.3307936898287212,0.0019081275458769714,-0.3599106310495337,0.0017302519016890619,-0.36437104573976403,0.0015417416812471818,-0.3733594832944123,0.0013963715883180273,-0.376266453125274,0.0012522062688245857,-0.36463063897781584,0.0011281292758980152,-0.3121010036104917,0.0009543663008964031,-0.22231490515102972,-2.717627295729047e-06,-0.06267962113933516
0.875,0.004313943143206943,-0.04224424826329921,0.003745146319481325,-0.14257619251580073,0.003555647031082233,-0.20950584240898137,0.0034236847073318318,-0.2479664541095302,0.0033077913439284973,-0.25701661769690565,0.0032067711182384904,-0.2767344772998953,0.0031090150320221637,-0.27003944425208604,0.0029982177217176575,-0.2675175014875454,0.002873196482342496,-0.266304231325566,0.002743101203961459,-0.25909244496496187,0.002589923070375956,-0.26358749789457786,0.0024272726914704597,-0.28395652773488606,0.0022650423929514913,-0.2990897773909493,0.002098561137378737,-0.32197356688768675,0.0019390792930682953,-0.3276745447983063,0.0017598593760430466,-0.3317885788045142,0.001633322106708378,-0.33668582826241983,0.0015122895468210875,-0.3210927909088752,0.0013976949217482154,-0.27361676609165403,0.001239585536872622,-0.19886731053621542,0.0002677051743734754,-0.058407700376936655
1.125,0.004172224944988119,-0.050972180263947425,0.0036512723759317385,-0.1436159884557501,0.0034847733220406893,-0.20670442010220064,0.0033747808679488933,-0.24206612533220262,0.003278864306737596,-0.2483192533747766,0.0031949329136265587,-0.2655590614168395,0.0031171042287629026,-0.25891806969458414,0.0030247966830689596,-0.2580644886066281,0.0029268902580840733,-0.25824979050692165,0.0028267740572911057,-0.2540635167752747,0.0027056955949251588,-0.2629051417891591,0.00257663934959881,-0.27022387969112766,0.0024437718773435853,-0.28067324633688046,0.002300813811426389,-0.29403298304416053,0.002170429454224067,-0.30457404712034,0.002018459044147437,-0.30756918003898404,0.0019139263919772044,-0.3120054226306273,0.00181820584264001,-0.29782249265395905,0.0017557317284953129,-0.25751711431287194,0.0016405152354956709,-0.18221562216138454,0.0006368987362410507,-0.06100176244168526
1.375,0.003987247453228856,-0.05087883878568877,0.003528346639606715,-0.1268016624007009,0.0033995314883819142,-0.19037518695982933,0.0033152347549440997,-0.21479759387948302,0.003247419759707537,-0.22160456896870606,0.003182844417931078,-0.23699163378311536,0.0031253426260362677,-0.22965164703696395,0.003062324974552542,-0.23164248629631978,0.0029944478390576718,-0.2353743076314675,0.0029256259713779957,-0.23098966575281035,0.0028411606527653428,-0.23133143760572766,0.002755137424135224,-0.23749230943986216,0.0026617573599216795,-0.23803193064763678,0.002554022750630817,-0.24526217180406001,0.0024585540151157853,-0.25288824916150543,0.0023413173393316824,-0.256937357962702,0.0022751671859998017,-0.2565066400905247,0.002208921456694452,-0.24432668540711389,0.002198807276213359,-0.21444956396128123,0.0021534172507582695,-0.15517962175773287,0.0010860347920482807,-0.05892848451475486
1.625,0.003778490721772478,-0.05096390047293552,0.003382664020584711,-0.1074891603856021,0.0032841696452832886,-0.1642098563517161,0.0032247981779709367,-0.18628617020716057,0.0031808791610206995,-0.1955117855344986,0.0031320396353024848,-0.21049142428632145,0.003091024494561237,-0.20414275007603694,0.0030539611255546947,-0.20999888095645255,0.003011796094426267,-0.2120425117878583,0.002970704349684268,-0.2096982917057639,0.0029158715477333864,-0.20655794529360902,0.0028607966023294295,-0.22177628543720884,0.0028027437242570665,-0.21902864148516468,0.002721158575399823,-0.2255617810826497,0.0026554427078166742,-0.23600487106860854,0.002584628694620125,-0.23488770687499383,0.0025656705185030586,-0.2332904025779521,0.00253761892654302,-0.21571335255657823,0.0025552044422264353,-0.19078761853165957,0.002561581718577294,-0.13723255578957697,0.001620815447787905,-0.052524251757617366
1.875,0.003709730973978377,-0.04440252503778918,0.0033668329742683667,-0.08774905671990348,0.0032960503273907087,-0.13290328141008295,0.003263768766035775,-0.15040143576062304,0.0032435675743930754,-0.16208063889522864,0.0032145641280109287,-0.1786441882262255,0.0031960974569301827,-0.1705284809588667,0.003182561476244204,-0.17875815427304828,0.003162362248722549,-0.1773454532619835,0.0031441166556300474,-0.1772682131381377,0.0031181800447680308,-0.17078621120625595,0.0030915795643469924,-0.18327221718649506,0.00305966408164364,-0.18197672009769833,0.0030105090564148547,-0.18648701747741048,0.0029734033950863216,-0.20776943095721478,0.002945460943971459,-0.21334320312188362,0.0029578433480857433,-0.2084867512738699,0.002973098755136946,-0.19166796729035127,0.0030304087804188954,-0.16794828187548133,0.0030980983156232962,-0.12023605978725449,0.0021493131450541466,-0.052289642903818684
2.125,0.0036824061164637983,-0.04502631272143923,0.003390036646685198,-0.07470122437744288,0.0033462661514784883,-0.11762705470426817,0.003334542054456717,-0.12379323223869176,0.0033276134971683955,-0.1375879032194239,0.0033212273820870854,-0.15419934073021602,0.0033214975294484496,-0.14699418670442202,0.0033322791548548556,-0.15363050773348058,0.0033299878303552776,-0.14606218083111072,0.0033395020739715882,-0.15109238214467188,0.003341241486517537,-0.14265913571107117,0.0033383154705902557,-0.15316083022944213,0.0033326560456318067,-0.14659753395647773,0.0033176611639404254,-0.14987013092589369,0.003307338863221686,-0.16959351223346217,0.0033274750375360223,-0.1789507809136424,0.003375111216764789,-0.176467241925773,0.0034285760076509676,-0.16982593222080258,0.0035333173101401876,-0.14360332421375277,0.0036331461037495253,-0.09960434969843322,0.0027397304468065593,-0.049372168966067755
2.375,0.003679048550806509,-0.033011777701763445,0.00341668727939677,-0.0506114062409177,0.003390252176253375,-0.08623632067843558,0.003400299595112824,-0.08620622049131266,0.003409072688454378,-0.10021132001530483,0.00341999315163509,-0.11244977753777684,0.003441215666329127,-0.10198914824853417,0.00346702862201798,-0.11147047920301618,0.0034807655159429375,-0.10258273209694398,0.0035096325849624283,-0.10552623426244619,0.0035290864745780148,-0.09942046103543505,0.0035513438031906093,-0.10822218634643693,0.003572382002640891,-0.10653144225090656,0.0035896003009561485,-0.10507807711849011,0.003611102689558672,-0.11805532843791838,0.003665265525619395,-0.13596229583068753,0.0037473382553128223,-0.13981920812506843,0.003864960347521652,-0.1363904701183678,0.004012575462054715,-0.11686477344075105,0.004131950923141335,-0.08007660907452394,0.003313941947306087,-0.04373740657237091
2.625,0.0038483279635994454,-0.029585822819911445,0.0035979827822143727,-0.0386208529882336,0.0035709084893069437,-0.06482984883566241,0.0035915974532710637,-0.0684316240261747,0.003609017380257978,-0.07413663435727257,0.003633704233472197,-0.08166726492119528,0.003663107105990568,-0.07189042508514445,0.0036966485420662507,-0.08164721112115744,0.003718796656588978,-0.07269230389557718,0.0037589367644324887,-0.07596388101679394,0.0037863375714019053,-0.06513116770073529,0.0038266326522083173,-0.07463917940851336,0.0038670948513934568,-0.07801445879700657,0.00391065367127539,-0.07742832676170543,0.00396050930906634,-0.09134618415592057,0.004055769168278324,-0.11055023830988561,0.004168341673084505,-0.11803264131240461,0.004328818322710933,-0.11993046969801588,0.004511043387721844,-0.10142213882422857,0.004623279507251957,-0.07255510793373822,0.003875319795551239,-0.04139785953470684
2.875,0.003952398849669802,-0.025355179388571604,0.0037442778424481367,-0.029791366047094092,0.0037449519779350644,-0.04762889680050933,0.0037832993560022723,-0.03972044658640482,0.0038196041221767296,-0.02956414612597746,0.003856035131328455,-0.029715424257823978,0.0038978119019949576,-0.019153640321892478,0.003938766540146557,-0.020567794502379697,0.003968108309951815,-0.015725882822067307,0.004014895668356338,-0.013853943786578532,0.004057178053942056,-0.012042665589675518,0.004114486388614274,-0.015603560005418632,0.004175883648031016,-0.029685034317596542,0.004257793189331114,-0.03277074017499363,0.004347867974828563,-0.04586510292501722,0.004481278311459598,-0.07395773689003095,0.00463482588306642,-0.08314777012067741,0.004840174491648676,-0.09068205356989234,0.00507270817577202,-0.07539331376604118,0.005217059449106104,-0.05800356586720892,0.004486730457516994,-0.04127033611096035
3.125,0.0039408238010648355,-0.033327722373996595,0.0037996130523592795,-0.03262498615898501,0.003825352923224819,-0.03090707420130196,0.003884607638790817,-0.018390593342917497,0.003941375111312575,-0.0034831317196523407,0.003985802968382317,-0.0005494050479418122,0.004034982611829562,0.02097877898354084,0.004086141263428269,0.020587719775911263,0.004124208702369452,0.02877549966529115,0.004176951481338902,0.03147197574755015,0.004230328762796659,0.0359145731860855,0.004297866434277137,0.024277918610159835,0.004372614868997628,0.01691775501530262,0.004459302268478256,0.006482269694453207,0.004561437682430289,-0.014109080183755519,0.004709861333370202,-0.0320020706960009,0.004884216111566353,-0.048165799420013616,0.00511118555605461,-0.05580493769741393,0.005343553550730627,-0.05184705290230332,0.00550785122536121,-0.04076011275618615,0.004986966952762507,-0.032417076160969026
3.375,0.003956775356866239,-0.031961823329796496,0.003865839081376567,-0.02502790084401816,0.003911312727221671,-0.014037919678248271,0.003986230730770984,0.0032226381094079865,0.00405696179684409,0.027612956406667357,0.004111907446275063,0.037242117610936834,0.004172529630404234,0.06180859002655095,0.004234196811386591,0.0679356674648988,0.004283200465434545,0.0756645900498103,0.004344192542182937,0.08066704999905736,0.0044062237011154,0.08398938184903984,0.004488703244831606,0.07518060121647603,0.004575637520249536,0.06264670689080418,0.004683217351271496,0.051195303001708534,0.004806718119812418,0.02956618684063671,0.004977608676823774,0.007969572564004102,0.005175578182320753,-0.010153182854201463,0.005423666895101473,-0.024148343218421207,0.005695880854675892,-0.0291302243766164,0.005889209672600565,-0.026514021367270848,0.00541678014555672,-0.029594804122550476
3.625,0.003916306421892559,-0.03498082187877185,0.003881058186794785,-0.020447364297659896,0.003947385399058087,-0.0009209931465862146,0.004034670715154015,0.02195617582879866,0.004119965138629876,0.05395053817564834,0.0041863805336388995,0.07179788314702061,0.004255411598944505,0.09320788335897615,0.0043270576039023834,0.10449044197909689,0.004389670671159682,0.11233103524517178,0.004458732300790847,0.12197042203427112,0.004534231742371338,0.12258181486854747,0.004629221589246054,0.11094359244796438,0.004727811549454635,0.09803271666284809,0.004850914562134435,0.0827223889248593,0.004993869092332564,0.06105004162643034,0.005183308943105109,0.040131201223924204,0.0054061474255108636,0.0204647027952988,0.005685687797044703,0.0028730273403149453,0.005985108805419312,-0.00650099654108538,0.00620870608007771,-0.011778583864027657,0.005841745718504552,-0.02331780818075354
