# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-87.0000 1.2392 14.6319 0.6227 20.7259 266.2520 14.9578 3.2989 12.8935 0.0327 16.0641
-84.0000 2.5187 14.6159 1.2704 20.7000 273.8427 14.9478 3.3627 12.8876 0.0337 16.0382
-81.0000 3.8443 14.6000 1.9519 20.6900 285.2532 14.9319 3.4906 12.8576 0.0352 16.0182
-78.0000 5.2462 14.5800 2.6901 20.6700 301.8887 14.9119 3.6756 12.8217 0.0374 15.9923
-75.0000 6.7486 14.5559 3.5053 20.6441 323.5208 14.8878 3.9166 12.7757 0.0402 15.9623
-72.0000 8.3738 14.5300 4.4176 20.6141 350.2227 14.8519 4.2146 12.7298 0.0437 15.9323
-69.0000 10.1394 14.4941 5.4489 20.5841 381.9645 14.8178 4.5691 12.6739 0.0479 15.8964
-66.0000 12.0596 14.4541 6.6211 20.5482 418.6621 14.7819 4.9805 12.6121 0.0527 15.8564
-63.0000 14.1355 14.4182 7.9580 20.5123 460.1854 14.7419 5.4458 12.5502 0.0582 15.8205
-60.0000 16.3677 14.3782 9.4802 20.4782 506.1536 14.7019 5.9636 12.4884 0.0642 15.7805
-57.0000 18.7433 14.3423 11.2059 20.4423 555.9926 14.6659 6.5264 12.4225 0.0708 15.7446
-54.0000 21.2270 14.3023 13.1624 20.4023 608.8106 14.6259 7.1263 12.3606 0.0778 15.7105
-51.0000 23.7907 14.2664 15.3541 20.3664 663.4954 14.5859 7.7506 12.3047 0.0850 15.6746
-48.0000 26.3784 14.2364 17.7942 20.3364 718.4633 14.5500 8.3839 12.2428 0.0923 15.6446
-45.0000 28.9046 14.2005 20.4815 20.3064 771.8630 14.5159 9.0051 12.1910 0.0993 15.6105
-42.0000 31.2757 14.1705 23.4127 20.2805 821.5611 14.4800 9.5902 12.1451 0.1058 15.5805
-39.0000 33.3944 14.1464 26.5684 20.2505 864.9143 14.4500 10.1097 12.1032 0.1116 15.5546
-36.0000 35.1497 14.1205 29.9127 20.2305 899.3568 14.4200 10.5333 12.0673 0.1160 15.5305
-33.0000 36.4007 14.1064 33.4159 20.2164 922.0038 14.3941 10.8254 12.0414 0.1189 15.5064
-30.0000 37.0453 14.0905 37.0143 20.2064 930.0944 14.3700 10.9499 12.0155 0.1199 15.4864
-27.0000 36.9649 14.0805 40.6386 20.1923 921.1995 14.3500 10.8755 11.9955 0.1186 15.4723
-24.0000 36.0688 14.0764 44.2183 20.1823 893.1425 14.3300 10.5797 11.9795 0.1148 15.4582
-21.0000 34.2938 14.0723 47.6702 20.1823 844.6535 14.3200 10.0397 11.9736 0.1084 15.4482
-18.0000 31.6036 14.0682 50.8964 20.1782 774.9092 14.3041 9.2401 11.9636 0.0993 15.4341
-15.0000 28.0183 14.0682 53.8152 20.1782 684.3729 14.2941 8.1847 11.9636 0.0876 15.4300
-12.0000 23.5790 14.0682 56.3379 20.1800 574.3595 14.2900 6.8868 11.9636 0.0734 15.4200
