# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-87.0000 8.0893 17.7697 8.0400 11.7777 68.1115 17.7835 0.2480 17.0548 0.0106 17.8716
-84.0000 8.1788 17.7377 7.9880 11.7677 123.3527 17.7597 0.4928 17.0629 0.0190 17.8558
-81.0000 8.4854 17.6777 7.9400 11.7477 185.5446 17.7397 0.7355 17.0490 0.0285 17.8377
-78.0000 9.0847 17.6197 7.9199 11.7277 249.1351 17.7097 0.9914 16.9990 0.0383 17.8058
-75.0000 9.9382 17.6116 7.9360 11.7077 318.7077 17.6897 1.2688 16.9409 0.0490 17.7877
-72.0000 10.7419 17.6797 7.9618 11.7077 389.6683 17.6997 1.5451 17.0190 0.0599 17.7958
-69.0000 11.5899 17.6777 7.9705 11.7177 463.4209 17.6997 1.8062 16.9851 0.0715 17.7977
-66.0000 12.5995 17.6577 7.9567 11.7377 540.0596 17.7077 2.1075 16.9832 0.0833 17.8058
-63.0000 13.7923 17.6077 7.9296 11.7497 620.2812 17.6897 2.4021 16.9993 0.0957 17.7877
-60.0000 15.2668 17.5939 7.9195 11.7616 707.7538 17.6797 2.7174 16.9974 0.1093 17.7777
-57.0000 16.7093 17.6219 7.9222 11.7755 797.4845 17.6897 3.0439 17.0335 0.1233 17.7777
-54.0000 18.1433 17.6000 7.9175 11.7993 889.1062 17.6777 3.3675 17.0677 0.1375 17.7677
-51.0000 19.8561 17.5842 7.9218 11.8190 988.2189 17.6777 3.7276 17.0939 0.1529 17.7558
-48.0000 21.5683 17.6003 7.9457 11.8387 1088.6606 17.6777 4.0961 17.1419 0.1684 17.7477
-45.0000 23.3184 17.6045 7.9791 11.8422 1191.9131 17.6758 4.4811 17.1900 0.1844 17.7358
-42.0000 25.1863 17.6187 8.0217 11.8396 1298.4301 17.6758 4.8947 17.2300 0.2008 17.7358
-39.0000 27.0824 17.6368 8.0691 11.8288 1405.9085 17.6758 5.3293 17.2719 0.2172 17.7339
-36.0000 29.0615 17.6529 8.1059 11.7919 1514.4289 17.6758 5.7849 17.2877 0.2337 17.7319
-33.0000 31.0976 17.6710 8.1169 11.7450 1623.4332 17.6839 6.2603 17.2935 0.2501 17.7319
-30.0000 33.1925 17.6910 8.0767 11.6799 1730.2442 17.6839 6.7463 17.2793 0.2663 17.7419
-27.0000 35.3458 17.7029 7.9573 11.6028 1834.3452 17.6858 7.2349 17.2451 0.2821 17.7500
-24.0000 37.5178 17.7149 7.7281 11.5218 1936.6368 17.6858 7.7159 17.1909 0.2973 17.7600
-21.0000 39.6809 17.7207 7.3577 11.4326 2031.3572 17.6877 8.1788 17.1087 0.3116 17.7719
-18.0000 41.7719 17.7065 6.8203 11.3396 2119.9582 17.6877 8.6129 17.0245 0.3251 17.7839
-15.0000 43.7420 17.7023 6.0955 11.2546 2200.8399 17.6897 9.0060 16.9303 0.3371 17.8019
-12.0000 45.4919 17.6881 5.1773 11.1859 2268.3597 17.6897 9.3493 16.8461 0.3476 17.8139
-9.0000 46.9569 17.6739 4.0745 11.1252 2324.7509 17.6916 9.6297 16.7618 0.3561 17.8258
-6.0000 48.0651 17.6597 2.8141 11.0826 2365.9514 17.6835 9.8406 16.6957 0.3625 17.8277
