# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-87.0000 0.0511 17.9318 0.0478 23.5019 1.0845 22.2514 0.0020 11.2026 0.0002 22.3015
-84.0000 0.1272 18.8517 0.1112 0.2018 0.1700 11.1322 0.0097 11.3524 0.0000 23.6330
-81.0000 0.2350 19.4216 0.1969 0.6518 0.5024 19.3414 0.0259 11.3724 0.0002 21.8616
-78.0000 0.3669 19.7816 0.3086 0.8817 0.9847 18.5620 0.0575 11.4221 0.0004 21.7816
-75.0000 0.4952 19.8617 0.4490 0.8917 1.9828 18.1519 0.1128 11.7320 0.0007 21.8616
-72.0000 0.6168 19.3117 0.6277 0.7018 3.6804 18.1819 0.1835 12.2721 0.0012 22.0416
-69.0000 0.8721 18.3617 0.8679 0.3618 5.5030 18.3019 0.2439 12.4622 0.0016 21.9916
-66.0000 1.2975 17.7917 1.1983 23.9518 7.5579 17.9319 0.3202 12.0321 0.0021 21.4917
-63.0000 1.8124 17.3418 1.6476 23.5218 10.7288 17.4119 0.4477 11.5621 0.0030 20.9817
-60.0000 2.4632 16.8418 2.2468 23.0818 14.9534 16.9820 0.6107 11.2121 0.0040 20.5617
-57.0000 3.3120 16.3518 3.0323 22.6518 20.1232 16.5520 0.8032 10.8522 0.0053 20.1317
-54.0000 4.3716 15.9018 4.0391 22.2418 26.3491 16.1120 1.0298 10.4722 0.0068 19.6817
-51.0000 5.6551 15.4717 5.3048 21.8417 33.5322 15.6820 1.2854 10.0922 0.0085 19.2418
-48.0000 7.1624 15.0617 6.8533 21.4617 41.3032 15.2520 1.5561 9.7022 0.0103 18.8018
-45.0000 8.8639 14.6917 8.7020 21.1017 49.1634 14.8220 1.8213 9.3122 0.0121 18.3518
-42.0000 10.6984 14.3517 10.8364 20.7617 56.3452 14.3720 2.0502 8.9122 0.0136 17.8918
-39.0000 12.5790 14.0516 13.2152 20.4517 61.7613 13.9119 2.2041 8.4722 0.0147 17.4018
-36.0000 14.3838 13.7716 15.7501 20.1616 64.2049 13.4019 2.2415 7.9822 0.0150 16.8518
-33.0000 15.9704 13.5316 18.3171 19.8916 62.6442 12.7719 2.1276 7.3522 0.0145 16.1617
-30.0000 17.1870 13.3316 20.7431 19.6516 56.6396 11.9218 1.8584 6.4122 0.0130 15.1917
-27.0000 17.8964 13.1616 22.8160 19.4316 47.8964 10.5317 1.5342 4.7621 0.0113 13.6216
-24.0000 18.0057 13.0416 24.3028 19.2416 43.9534 8.1917 1.5282 2.0821 0.0113 11.2616
-21.0000 17.4906 12.9716 24.9772 19.0716 56.8490 5.6918 2.2193 23.7721 0.0152 9.0917
-18.0000 16.4013 12.9616 24.6323 18.9216 85.9342 4.1618 3.4143 22.5322 0.0224 7.7717
-15.0000 14.8878 13.0216 23.1279 18.8016 123.0243 3.3318 4.8330 21.8622 0.0311 7.0117
-12.0000 13.1721 13.1616 20.4080 18.6916 162.1781 2.8418 6.2928 21.4722 0.0401 6.5517
-9.0000 11.5145 13.3816 16.5256 18.6216 198.5710 2.5318 7.6349 21.2122 0.0484 6.2617
-6.0000 10.1660 13.6317 11.6377 18.5616 228.0417 2.3518 8.7121 21.0622 0.0552 6.0717
-3.0000 9.3092 13.8617 6.0118 18.5316 247.2087 2.2418 9.4097 20.9722 0.0595 5.9717
0.0000 9.0177 13.9517 0.0000 6.7496 253.8612 2.2118 9.6510 20.9422 0.0610 5.9417
3.0000 9.3092 13.8617 6.0118 6.5316 247.2087 2.2418 9.4097 20.9722 0.0595 5.9717
6.0000 10.1660 13.6317 11.6377 6.5616 228.0417 2.3518 8.7121 21.0622 0.0552 6.0717
9.0000 11.5145 13.3816 16.5256 6.6216 198.5710 2.5318 7.6349 21.2122 0.0484 6.2617
12.0000 13.1721 13.1616 20.4080 6.6916 162.1781 2.8418 6.2928 21.4722 0.0401 6.5517
15.0000 14.8878 13.0216 23.1279 6.8016 123.0243 3.3318 4.8330 21.8622 0.0311 7.0117
18.0000 16.4013 12.9616 24.6323 6.9216 85.9342 4.1618 3.4143 22.5322 0.0224 7.7717
21.0000 17.4906 12.9716 24.9772 7.0716 56.8490 5.6918 2.2193 23.7721 0.0152 9.0917
24.0000 18.0057 13.0416 24.3028 7.2416 43.9534 8.1917 1.5282 2.0821 0.0113 11.2616
27.0000 17.8964 13.1616 22.8160 7.4316 47.8964 10.5317 1.5342 4.7621 0.0113 13.6216
30.0000 17.1870 13.3316 20.7431 7.6516 56.6396 11.9218 1.8584 6.4122 0.0130 15.1917
33.0000 15.9704 13.5316 18.3171 7.8916 62.6442 12.7719 2.1276 7.3522 0.0145 16.1617
36.0000 14.3838 13.7716 15.7501 8.1616 64.2049 13.4019 2.2415 7.9822 0.0150 16.8518
39.0000 12.5790 14.0516 13.2152 8.4517 61.7613 13.9119 2.2041 8.4722 0.0147 17.4018
42.0000 10.6984 14.3517 10.8364 8.7617 56.3452 14.3720 2.0502 8.9122 0.0136 17.8918
45.0000 8.8639 14.6917 8.7020 9.1017 49.1634 14.8220 1.8213 9.3122 0.0121 18.3518
48.0000 7.1624 15.0617 6.8533 9.4617 41.3032 15.2520 1.5561 9.7022 0.0103 18.8018
51.0000 5.6551 15.4717 5.3048 9.8417 33.5322 15.6820 1.2854 10.0922 0.0085 19.2418
54.0000 4.3716 15.9018 4.0391 10.2418 26.3491 16.1120 1.0298 10.4722 0.0068 19.6817
57.0000 3.3120 16.3518 3.0323 10.6518 20.1232 16.5520 0.8032 10.8522 0.0053 20.1317
60.0000 2.4632 16.8418 2.2468 11.0818 14.9534 16.9820 0.6107 11.2121 0.0040 20.5617
63.0000 1.8124 17.3418 1.6476 11.5218 10.7288 17.4119 0.4477 11.5621 0.0030 20.9817
66.0000 1.2975 17.7917 1.1983 11.9518 7.5579 17.9319 0.3202 12.0321 0.0021 21.4917
69.0000 0.8721 18.3617 0.8679 12.3618 5.5030 18.3019 0.2439 12.4622 0.0016 21.9916
72.0000 0.6168 19.3117 0.6277 12.7018 3.6804 18.1819 0.1835 12.2721 0.0012 22.0416
75.0000 0.4952 19.8617 0.4490 12.8917 1.9828 18.1519 0.1128 11.7320 0.0007 21.8616
78.0000 0.3669 19.7816 0.3086 12.8817 0.9847 18.5620 0.0575 11.4221 0.0004 21.7816
81.0000 0.2350 19.4216 0.1969 12.6518 0.5024 19.3414 0.0259 11.3724 0.0002 21.8616
84.0000 0.1272 18.8517 0.1112 12.2018 0.1700 11.1322 0.0097 11.3524 0.0000 23.6330
87.0000 0.0511 17.9318 0.0478 11.5019 1.0845 22.2514 0.0020 11.2026 0.0002 22.3015
