# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-87.0000 3.1388 8.6099 3.1536 11.6099 1250.5428 8.8198 8.3897 8.3795 0.1732 8.9299
-84.0000 6.2545 8.6099 6.3108 11.6099 1249.4466 8.8198 8.3909 8.3795 0.1732 8.9299
-81.0000 9.3244 8.6099 9.4726 11.6199 1249.4424 8.8198 8.3943 8.3795 0.1730 8.9299
-78.0000 12.3212 8.6100 12.6421 11.6199 1247.1424 8.8198 8.3943 8.3795 0.1727 8.9299
-75.0000 15.2170 8.6199 15.8030 11.6299 1242.5424 8.8198 8.3887 8.3895 0.1719 8.9299
-72.0000 17.9869 8.6200 18.9750 11.6299 1234.5466 8.8198 8.3691 8.3895 0.1706 8.9299
-69.0000 20.6078 8.6300 22.1360 11.6399 1223.0424 8.8198 8.3278 8.3995 0.1688 8.9299
-66.0000 23.0447 8.6399 25.2862 11.6499 1204.6385 8.8198 8.2554 8.3995 0.1659 8.9299
-63.0000 25.2637 8.6499 28.4124 11.6599 1178.2343 8.8198 8.1393 8.4094 0.1620 8.9299
-60.0000 27.2286 8.6599 31.4927 11.6699 1143.5269 8.8198 7.9657 8.4094 0.1568 8.9299
-57.0000 28.8964 8.6699 34.5050 11.6799 1097.1124 8.8298 7.7175 8.4194 0.1500 8.9399
-54.0000 30.2181 8.6899 37.3904 11.6999 1037.8940 8.8298 7.3795 8.4194 0.1415 8.9399
-51.0000 31.1377 8.6999 40.1266 11.7099 964.0614 8.8398 6.9347 8.4294 0.1311 8.9499
-48.0000 31.6320 8.7098 42.6098 11.7298 874.5211 8.8398 6.3682 8.4393 0.1184 8.9599
-45.0000 31.6212 8.7198 44.7708 11.7398 768.3141 8.8498 5.6705 8.4593 0.1036 8.9699
-42.0000 31.0812 8.7398 46.5067 11.7498 645.1002 8.8598 4.8361 8.4893 0.0866 8.9799
-39.0000 29.9889 8.7498 47.7133 11.7698 505.3195 8.8798 3.8685 8.5393 0.0673 8.9899
-36.0000 28.3454 8.7598 48.2887 11.7798 350.2627 8.9099 2.7779 8.6293 0.0461 9.0100
-33.0000 26.1847 8.7698 48.1388 11.7898 182.4410 8.9999 1.5943 8.8592 0.0231 9.0501
-30.0000 23.5639 8.7898 47.1857 11.8098 16.5162 11.3885 0.4885 10.3582 0.0015 1.5564
-27.0000 20.5869 8.7998 45.4044 11.8198 180.4504 2.6696 1.1707 1.6991 0.0260 2.8996
-24.0000 17.3799 8.8198 42.7608 11.8398 364.4814 2.7697 2.4808 2.1093 0.0509 2.9298
-21.0000 14.0928 8.8399 39.3130 11.8599 544.1433 2.7998 3.7945 2.2594 0.0750 2.9498
-18.0000 10.8556 8.8599 35.1178 11.8699 713.8135 2.8198 5.0496 2.3494 0.0977 2.9499
-15.0000 7.8387 8.8799 30.2553 11.8899 867.9593 2.8398 6.2014 2.4194 0.1183 2.9499
-12.0000 5.1753 8.9099 24.8424 11.9100 1001.4890 2.8498 7.2096 2.4794 0.1360 2.9499
-9.0000 2.9797 8.9300 19.0020 11.9200 1110.2392 2.8598 8.0385 2.5194 0.1503 2.9499
-6.0000 1.3474 8.9800 12.8413 11.9400 1190.8749 2.8599 8.6571 2.5494 0.1608 2.9500
-3.0000 0.3426 9.1600 6.4699 11.9400 1239.2032 2.8599 9.0389 2.5694 0.1673 2.9500
0.0000 0.0420 11.9100 0.0000 5.0170 1256.4074 2.8699 9.1687 2.5794 0.1695 2.9500
3.0000 0.3426 9.1600 6.4699 5.9400 1239.2032 2.8599 9.0389 2.5694 0.1673 2.9500
6.0000 1.3474 8.9800 12.8413 5.9400 1190.8749 2.8599 8.6571 2.5494 0.1608 2.9500
9.0000 2.9797 8.9300 19.0020 5.9200 1110.2392 2.8598 8.0385 2.5194 0.1503 2.9499
12.0000 5.1753 8.9099 24.8424 5.9100 1001.4890 2.8498 7.2096 2.4794 0.1360 2.9499
15.0000 7.8387 8.8799 30.2553 5.8899 867.9593 2.8398 6.2014 2.4194 0.1183 2.9499
18.0000 10.8556 8.8599 35.1178 5.8699 713.8135 2.8198 5.0496 2.3494 0.0977 2.9499
21.0000 14.0928 8.8399 39.3130 5.8599 544.1433 2.7998 3.7945 2.2594 0.0750 2.9498
24.0000 17.3799 8.8198 42.7608 5.8398 364.4814 2.7697 2.4808 2.1093 0.0509 2.9298
27.0000 20.5869 8.7998 45.4044 5.8198 180.4504 2.6696 1.1707 1.6991 0.0260 2.8996
30.0000 23.5639 8.7898 47.1857 5.8098 16.5162 11.3885 0.4885 10.3582 0.0015 1.5564
33.0000 26.1847 8.7698 48.1388 5.7898 182.4410 8.9999 1.5943 8.8592 0.0231 9.0501
36.0000 28.3454 8.7598 48.2887 5.7798 350.2627 8.9099 2.7779 8.6293 0.0461 9.0100
39.0000 29.9889 8.7498 47.7133 5.7698 505.3195 8.8798 3.8685 8.5393 0.0673 8.9899
42.0000 31.0812 8.7398 46.5067 5.7498 645.1002 8.8598 4.8361 8.4893 0.0866 8.9799
45.0000 31.6212 8.7198 44.7708 5.7398 768.3141 8.8498 5.6705 8.4593 0.1036 8.9699
48.0000 31.6320 8.7098 42.6098 5.7298 874.5211 8.8398 6.3682 8.4393 0.1184 8.9599
51.0000 31.1377 8.6999 40.1266 5.7099 964.0614 8.8398 6.9347 8.4294 0.1311 8.9499
54.0000 30.2181 8.6899 37.3904 5.6999 1037.8940 8.8298 7.3795 8.4194 0.1415 8.9399
