# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-87.0000 0.0680 5.2105 0.0829 1.9586 2.1179 0.3650 0.0035 3.6925 0.0004 0.2650
-84.0000 0.2208 5.6005 0.2394 2.4105 1.7760 5.5723 0.0217 4.2429 0.0002 6.2037
-81.0000 0.4673 5.7605 0.4665 2.6305 4.3222 5.5905 0.0672 4.5011 0.0005 6.3755
-78.0000 0.8135 5.8064 0.7489 2.7464 10.2840 5.7405 0.1478 4.6088 0.0012 6.4637
-75.0000 1.2940 5.7905 1.0717 2.8023 19.4763 5.7905 0.2776 4.6288 0.0023 6.5137
-72.0000 1.9522 5.7405 1.4220 2.8223 33.1249 5.7864 0.4682 4.6088 0.0040 6.5077
-69.0000 2.8529 5.7146 1.7879 2.8282 52.3856 5.7764 0.7450 4.6088 0.0063 6.5037
-66.0000 4.0208 5.7146 2.1485 2.8341 78.6242 5.7664 1.1191 4.6088 0.0095 6.4896
-63.0000 5.4257 5.7305 2.4615 2.8500 112.0397 5.7764 1.5903 4.6288 0.0135 6.4896
-60.0000 7.0900 5.7305 2.6757 2.8759 152.8593 5.7764 2.1619 4.6388 0.0184 6.4855
-57.0000 9.0897 5.7205 2.7444 2.9118 201.8475 5.7764 2.8543 4.6448 0.0242 6.4855
-54.0000 11.4165 5.7205 2.6284 2.9596 258.8921 5.7764 3.6602 4.6548 0.0310 6.4755
-51.0000 14.0194 5.7205 2.2809 3.0273 323.3351 5.7823 4.5651 4.6648 0.0386 6.4714
-48.0000 16.8335 5.7264 1.6572 3.1746 393.4865 5.7823 5.5482 4.6748 0.0469 6.4714
-45.0000 19.8335 5.7264 0.7613 3.7704 468.0100 5.7823 6.5884 4.6848 0.0556 6.4673
-42.0000 22.8764 5.7323 0.7892 7.7680 544.0376 5.7782 7.6445 4.6948 0.0646 6.4573
-39.0000 25.8338 5.7323 2.3942 8.4558 617.9252 5.7782 8.6612 4.7048 0.0732 6.4532
-36.0000 28.5728 5.7323 4.4272 8.6132 686.5644 5.7782 9.5933 4.7107 0.0812 6.4432
-33.0000 30.8997 5.7382 6.8083 8.6768 745.2072 5.7782 10.3746 4.7207 0.0881 6.4391
-30.0000 32.6386 5.7382 9.4820 8.7086 789.5692 5.7741 10.9443 4.7266 0.0933 6.4291
-27.0000 33.6218 5.7382 12.3797 8.7305 815.7024 5.7741 11.2521 4.7366 0.0963 6.4191
-24.0000 33.7062 5.7341 15.4073 8.7364 819.6164 5.7741 11.2482 4.7425 0.0968 6.4091
-21.0000 32.7822 5.7341 18.4584 8.7423 798.7814 5.7700 10.9020 4.7425 0.0944 6.3950
-18.0000 30.7741 5.7341 21.4171 8.7441 751.4451 5.7700 10.1999 4.7485 0.0888 6.3850
-15.0000 27.6829 5.7300 24.1748 8.7441 677.3093 5.7641 9.1448 4.7485 0.0801 6.3750
-12.0000 23.5648 5.7300 26.6033 8.7400 577.5827 5.7600 7.7634 4.7544 0.0684 6.3691
-9.0000 18.5537 5.7259 28.6113 8.7400 455.2509 5.7600 6.0937 4.7544 0.0539 6.3650
-6.0000 12.8014 5.7259 30.1078 8.7300 314.3184 5.7600 4.1954 4.7503 0.0373 6.3550
-3.0000 6.5345 5.7259 31.0366 8.7300 160.5623 5.7559 2.1385 4.7503 0.0190 6.3550
0.0000 0.0000 8.5641 31.3564 8.7300 0.0002 8.6500 0.0000 8.3977 0.0000 8.7259
3.0000 6.5345 11.7259 31.0366 8.7300 160.5623 11.7559 2.1385 10.7503 0.0190 0.3550
6.0000 12.8014 11.7259 30.1078 8.7300 314.3184 11.7600 4.1954 10.7503 0.0373 0.3550
9.0000 18.5537 11.7259 28.6113 8.7400 455.2509 11.7600 6.0937 10.7544 0.0539 0.3650
12.0000 23.5648 11.7300 26.6033 8.7400 577.5827 11.7600 7.7634 10.7544 0.0684 0.3691
15.0000 27.6829 11.7300 24.1748 8.7441 677.3093 11.7641 9.1448 10.7485 0.0801 0.3750
18.0000 30.7741 11.7341 21.4171 8.7441 751.4451 11.7700 10.1999 10.7485 0.0888 0.3850
21.0000 32.7822 11.7341 18.4584 8.7423 798.7814 11.7700 10.9020 10.7425 0.0944 0.3950
24.0000 33.7062 11.7341 15.4073 8.7364 819.6164 11.7741 11.2482 10.7425 0.0968 0.4091
27.0000 33.6218 11.7382 12.3797 8.7305 815.7024 11.7741 11.2521 10.7366 0.0963 0.4191
30.0000 32.6386 11.7382 9.4820 8.7086 789.5692 11.7741 10.9443 10.7266 0.0933 0.4291
33.0000 30.8997 11.7382 6.8083 8.6768 745.2072 11.7782 10.3746 10.7207 0.0881 0.4391
36.0000 28.5728 11.7323 4.4272 8.6132 686.5644 11.7782 9.5933 10.7107 0.0812 0.4432
39.0000 25.8338 11.7323 2.3942 8.4558 617.9252 11.7782 8.6612 10.7048 0.0732 0.4532
42.0000 22.8764 11.7323 0.7892 7.7680 544.0376 11.7782 7.6445 10.6948 0.0646 0.4573
45.0000 19.8335 11.7264 0.7613 3.7704 468.0100 11.7823 6.5884 10.6848 0.0556 0.4673
48.0000 16.8335 11.7264 1.6572 3.1746 393.4865 11.7823 5.5482 10.6748 0.0469 0.4714
51.0000 14.0194 11.7205 2.2809 3.0273 323.3351 11.7823 4.5651 10.6648 0.0386 0.4714
54.0000 11.4165 11.7205 2.6284 2.9596 258.8921 11.7764 3.6602 10.6548 0.0310 0.4755
57.0000 9.0897 11.7205 2.7444 2.9118 201.8475 11.7764 2.8543 10.6448 0.0242 0.4855
60.0000 7.0900 11.7305 2.6757 2.8759 152.8593 11.7764 2.1619 10.6388 0.0184 0.4855
63.0000 5.4257 11.7305 2.4615 2.8500 112.0397 11.7764 1.5903 10.6288 0.0135 0.4896
66.0000 4.0208 11.7146 2.1485 2.8341 78.6242 11.7664 1.1191 10.6088 0.0095 0.4896
69.0000 2.8529 11.7146 1.7879 2.8282 52.3856 11.7764 0.7450 10.6088 0.0063 0.5037
72.0000 1.9522 11.7405 1.4220 2.8223 33.1249 11.7864 0.4682 10.6088 0.0040 0.5077
75.0000 1.2940 11.7905 1.0717 2.8023 19.4763 11.7905 0.2776 10.6288 0.0023 0.5137
