# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-87.0000 0.2067 4.2862 0.1476 7.2062 14.0346 4.4064 0.0041 7.2168 0.0024 4.3864
-84.0000 1.0594 4.3363 0.9378 7.3263 3.4297 10.3964 0.0168 8.2973 0.0006 10.6761
-81.0000 2.5463 4.3463 2.3558 7.3463 0.5943 3.3962 0.0495 8.6574 0.0004 2.8572
-78.0000 4.5659 4.3563 4.3553 7.3463 1.6180 11.0373 0.1049 9.2972 0.0004 2.3074
-75.0000 7.0522 4.3763 6.8841 7.3363 3.9892 0.2066 0.2213 9.7968 0.0012 2.6665
-72.0000 9.9399 4.3163 9.8621 7.3163 6.9469 0.0366 0.3293 9.4969 0.0019 2.2165
-69.0000 13.2795 4.2763 13.1915 7.2763 12.7566 11.7266 0.5911 9.2268 0.0033 1.9065
-66.0000 16.7162 4.2363 16.7092 7.2363 21.6453 11.5265 0.9615 9.0768 0.0054 1.6964
-63.0000 20.0839 4.1963 20.1839 7.1963 34.5197 11.3365 1.4798 8.9268 0.0083 1.4964
-60.0000 23.0992 4.1563 23.3275 7.1463 52.1306 11.1665 2.1695 8.7967 0.0122 1.3064
-57.0000 25.4658 4.1063 25.7914 7.0863 75.0096 11.0164 3.0419 8.6767 0.0170 1.1463
-54.0000 26.8706 4.0663 27.2222 7.0263 102.6600 10.8764 4.0777 8.5567 0.0227 0.9963
-51.0000 27.0971 4.0163 27.2727 6.9563 134.4717 10.7464 5.2312 8.4567 0.0291 0.8562
-48.0000 25.9183 3.9663 25.6923 6.8763 167.4046 10.6364 6.3973 8.3667 0.0356 0.7362
-45.0000 23.3338 3.9063 22.3112 6.7663 197.8370 10.5364 7.4506 8.2767 0.0415 0.6162
-42.0000 19.4809 3.8363 17.2613 6.6062 221.5024 10.4364 8.2256 8.1967 0.0457 0.5062
-39.0000 14.6289 3.7462 10.9760 6.2662 232.5465 10.3364 8.5390 8.1167 0.0475 0.4061
-36.0000 9.2570 3.5762 5.0354 5.0065 226.3545 10.2363 8.2407 8.0266 0.0457 0.2961
-33.0000 4.0536 3.0362 6.6406 2.2868 199.7633 10.1163 7.2301 7.9166 0.0400 0.1761
-30.0000 2.2541 11.7073 12.6030 1.5465 152.0210 9.9263 5.5074 7.7466 0.0302 11.9960
-27.0000 5.5791 10.5167 17.4411 1.2964 87.9340 9.4962 3.2329 7.3667 0.0173 11.6159
-24.0000 8.1306 10.2965 19.9020 1.1564 37.9307 7.2371 1.2847 5.3771 0.0063 9.3861
-21.0000 9.3675 10.2264 19.4389 1.0564 92.3369 5.0468 2.9312 2.8968 0.0169 6.9464
-18.0000 9.3576 10.2064 16.0067 0.9564 162.4042 4.6466 5.2909 2.4667 0.0304 6.5563
-15.0000 8.3866 10.2164 10.0789 0.8064 213.7040 4.4865 7.0112 2.3067 0.0402 6.4162
