# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-87.0000 0.4332 5.5886 0.3903 7.7564 16.2896 5.4077 0.0061 0.5197 0.0029 5.3977
-84.0000 1.9294 5.4709 1.8132 7.5268 6.4406 1.2391 0.0536 0.7665 0.0009 1.3877
-81.0000 4.4097 5.4468 4.2101 7.4627 9.6759 1.4432 0.1880 1.0203 0.0008 1.9692
-78.0000 7.6630 5.4127 7.4533 7.4227 26.1178 1.4427 0.3461 1.0131 0.0029 1.7273
-75.0000 11.6685 5.4027 11.3969 7.4027 50.8966 1.4327 0.6367 0.9927 0.0058 1.6895
-72.0000 16.1090 5.4027 15.7876 7.3927 88.2383 1.4368 1.0549 0.9686 0.0103 1.6859
-69.0000 20.7251 5.3927 20.3242 7.3868 137.9594 1.4168 1.5973 0.9304 0.0165 1.6741
-66.0000 25.4561 5.3868 24.7286 7.3809 202.9169 1.4109 2.3269 0.9045 0.0244 1.6682
-63.0000 29.9598 5.3809 28.7200 7.3768 282.1994 1.4068 3.2126 0.8945 0.0342 1.6682
-60.0000 33.8392 5.3809 31.9757 7.3768 372.3042 1.4109 4.2275 0.8845 0.0452 1.6723
-57.0000 36.9610 5.3768 34.1674 7.3709 472.6777 1.4009 5.3618 0.8745 0.0575 1.6623
-54.0000 39.1601 5.3709 35.0371 7.3668 580.1114 1.4009 6.5809 0.8686 0.0706 1.6682
-51.0000 40.1305 5.3709 34.3831 7.3609 685.8569 1.3968 7.7891 0.8586 0.0836 1.6623
-48.0000 39.9294 5.3609 32.0799 7.3450 787.2049 1.3909 8.9380 0.8427 0.0961 1.6623
-45.0000 38.4248 5.3509 28.0812 7.3250 873.2429 1.3850 9.9129 0.8327 0.1068 1.6582
-42.0000 35.7106 5.3450 22.4842 7.2991 937.9413 1.3809 10.6294 0.8167 0.1150 1.6523
-39.0000 31.9022 5.3350 15.5326 7.2491 971.8967 1.3709 10.9865 0.7967 0.1196 1.6523
-36.0000 27.2013 5.3250 7.5907 7.1273 968.3620 1.3609 10.9101 0.7767 0.1196 1.6423
-33.0000 21.8575 5.3150 1.6613 4.4414 921.7047 1.3509 10.3438 0.7567 0.1143 1.6364
