# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.4457 141.2025
 HME_DE3_2 0.1105 74.5785
 HME_DE2_1 0.2886 53.0861
 HME_DE2_2 0.2349 45.4943
 HME_DE1_1 0.0019 63.6207
 HME_DE1_2 0.0400 219.3580
  HME_D0_1 0.0089 246.1318
  HME_D0_2 0.1357 257.2275
 HME_DW1_1 0.7172 181.8354
 HME_DW2_1 0.1031 333.2603
 HME_SE3_1 0.0056 214.4743
 HME_SE3_2 0.1005 11.0124
 HME_SE3_3 0.0307 94.6127
 HME_SE3_4 0.0103 325.9209
 HME_SE2_1 0.0221 244.4178
 HME_SE2_2 0.0845 201.3783
 HME_SE2_3 0.1884 162.1580
 HME_SE2_4 0.0572 249.4229
 HME_SE1_1 0.0245 129.6108
 HME_SE1_2 0.0270 159.4089
 HME_SE1_3 0.1042 71.8619
 HME_SE1_4 0.0284 335.3802
  HME_S0_1 0.0056 29.9575
  HME_S0_2 0.0728 35.1614
  HME_S0_3 0.0975 15.7832
  HME_S0_4 0.0343 78.9294
 HME_SW1_1 0.0394 204.1749
 HME_SW1_2 0.1316 78.2062
 HME_SW1_3 0.0281 319.3897
 HME_SW1_4 0.0719 82.2008
 HME_SW2_1 0.3405 150.0927
 HME_SW2_2 0.6741 66.0471
 HME_SW2_3 0.8571 1.3169
 HME_SW2_4 0.4263 219.6793
 HME_SW3_1 0.1337 247.6117
 HME_SW3_2 0.1527 98.9856
 HME_SW3_3 0.1009 310.6046
 HME_SW3_4 0.0804 148.5912
 HME_SW4_1 0.0832 228.3267
 HME_SW4_2 0.0409 344.2360
 HME_SW4_3 0.0915 53.6918
 HME_SW4_4 0.0464 45.5169
 HME_SW6_1 0.0480 246.6449
 HME_SW6_2 0.0172 287.2926
 HME_SW6_3 0.0339 234.9096
 HME_TW3_1 0.1422 226.1112
 HME_TW3_2 0.1539 108.8257
 HME_TW3_3 0.1990 75.8805
 HME_TW3_4 0.2273 182.8406
