"Altitude (km)" sza00 sza25 sza36 sza45 sza53 sza60 sza66 sza72 sza78 sza84 sza89
80.00 0.01 0.02 0.01 0.01 0.04 0.01 0.04 0.07 0.11 0.05 0.12
82.05 0.03 0.07 0.02 0.04 0.09 0.04 0.09 0.17 0.24 0.12 0.25
84.10 0.09 0.17 0.05 0.10 0.22 0.10 0.22 0.38 0.51 0.26 0.48
86.15 0.24 0.41 0.15 0.25 0.52 0.24 0.51 0.80 1.03 0.54 0.91
88.21 0.60 0.97 0.37 0.61 1.15 0.57 1.10 1.64 2.03 1.10 1.65
90.26 1.44 2.18 0.92 1.41 2.47 1.30 2.31 3.25 3.84 2.15 2.93
92.31 3.26 4.70 2.15 3.11 5.08 2.83 4.66 6.21 7.03 4.05 5.02
94.36 7.06 9.68 4.79 6.57 10.02 5.88 9.02 11.42 12.44 7.38 8.35
96.41 14.60 19.07 10.17 13.26 18.97 11.68 16.78 20.23 21.25 12.95 13.47
98.46 28.80 35.96 20.56 25.59 34.45 22.20 29.97 34.55 35.08 21.92 21.07
100.51 54.21 64.92 39.58 47.19 60.05 40.38 51.43 56.87 55.93 35.77 31.96
102.56 97.37 112.17 72.58 83.15 100.43 70.26 84.79 90.21 86.14 56.30 46.98
104.62 166.85 185.51 126.80 140.02 161.20 116.93 134.32 137.90 128.15 85.45 66.98
106.67 272.82 293.63 211.00 225.32 248.29 186.15 204.41 203.14 184.18 125.05 92.57
108.72 425.65 444.84 334.45 346.49 366.99 283.48 298.85 288.40 255.68 176.49 124.06
110.77 633.64 645.02 504.99 509.17 520.53 412.98 419.77 394.57 342.88 240.19 161.21
112.82 900.02 895.19 726.32 715.02 708.48 575.52 566.45 520.24 444.18 315.22 203.10
114.87 1219.79 1189.11 995.10 959.54 925.37 767.23 734.36 661.03 555.82 398.92 248.09
116.92 1577.38 1511.81 1298.68 1230.52 1159.84 978.39 914.66 809.45 671.87 486.83 293.84
118.97 1946.31 1839.68 1614.48 1508.00 1395.01 1193.52 1094.47 955.21 784.52 572.89 337.44
121.03 2291.45 2142.67 1911.87 1766.01 1610.12 1392.75 1258.19 1086.32 884.91 650.11 375.71
123.08 2574.11 2388.55 2156.64 1976.38 1783.34 1554.70 1389.60 1190.58 964.18 711.41 405.61
125.13 2759.10 2548.49 2317.35 2113.64 1895.44 1660.16 1474.44 1257.49 1014.81 750.70 424.57
127.18 2821.81 2602.55 2371.93 2160.10 1933.24 1695.82 1503.01 1279.95 1031.78 763.88 430.90
129.23 2753.66 2543.80 2312.62 2109.61 1892.16 1657.06 1471.96 1255.53 1013.34 749.55 424.02
131.28 2563.98 2379.77 2147.85 1968.85 1777.17 1548.91 1384.92 1186.88 961.37 709.24 404.56
133.33 2277.92 2130.86 1900.19 1755.93 1601.77 1384.98 1251.85 1081.26 881.05 647.14 374.25
135.38 1931.01 1826.17 1601.34 1496.52 1385.37 1184.64 1087.12 949.29 779.97 569.40 335.69
137.44 1561.90 1497.95 1285.48 1218.84 1149.83 969.30 906.99 803.18 667.00 483.12 291.94
139.49 1205.43 1176.04 982.98 948.61 915.79 758.69 726.98 654.90 550.99 395.28 246.17
141.54 887.67 883.71 716.00 705.53 699.94 568.06 559.81 514.61 439.67 311.87 201.26
143.59 623.71 635.58 496.80 501.45 513.36 406.86 414.15 389.69 338.91 237.28 159.54
145.64 418.16 437.52 328.35 340.58 361.31 278.76 294.35 284.39 252.36 174.08 122.62
147.69 267.49 288.27 206.73 221.06 244.03 182.71 200.99 200.01 181.51 123.16 91.38
149.74 163.27 181.78 123.98 137.11 158.16 114.55 131.85 135.56 126.12 84.02 66.03
151.79 95.09 109.72 70.83 81.27 98.37 68.70 83.10 88.54 84.65 55.28 46.26
153.85 52.84 63.38 38.54 46.03 58.71 39.42 50.31 55.74 54.88 35.07 31.42
155.90 28.02 35.05 19.98 24.91 33.62 21.63 29.27 33.81 34.37 21.45 20.69
157.95 14.17 18.55 9.87 12.89 18.48 11.36 16.36 19.77 20.79 12.65 13.21
160.00 6.84 9.39 4.64 6.37 9.75 5.70 8.78 11.14 12.15 7.20 8.18
