File created by python code using SuperMAGGetIndices

============================================================
<year>  <month>  <day>  <hour>  <min>  <sec>  <SME (nT)>  <SML (nT)>  <SMU (nT)>
2002  12  21  00  00  00   616.74  -354.47   262.26
2002  12  21  00  01  00   623.75  -354.72   269.03
2002  12  21  00  02  00   617.18  -349.28   267.90
2002  12  21  00  03  00   633.56  -350.01   283.55
2002  12  21  00  04  00   664.55  -357.88   306.68
2002  12  21  00  05  00   670.05  -355.39   314.66
2002  12  21  00  06  00   645.29  -342.74   302.55
2002  12  21  00  07  00   630.43  -345.38   285.05
2002  12  21  00  08  00   621.00  -347.15   273.85
2002  12  21  00  09  00   629.98  -360.75   269.23
2002  12  21  00  10  00   635.51  -368.02   267.49
2002  12  21  00  11  00   645.75  -374.46   271.29
2002  12  21  00  12  00   669.84  -389.80   280.03
2002  12  21  00  13  00   681.61  -389.16   292.46
2002  12  21  00  14  00   700.88  -397.25   303.63
2002  12  21  00  15  00   706.99  -402.45   304.55
2002  12  21  00  16  00   720.31  -412.51   307.79
2002  12  21  00  17  00   737.82  -425.40   312.41
2002  12  21  00  18  00   741.18  -434.03   307.15
2002  12  21  00  19  00   747.01  -447.46   299.55
2002  12  21  00  20  00   744.23  -448.51   295.71
2002  12  21  00  21  00   738.28  -437.68   300.60
2002  12  21  00  22  00   756.89  -440.97   315.92
2002  12  21  00  23  00   730.96  -424.51   306.45
2002  12  21  00  24  00   715.52  -418.17   297.35
2002  12  21  00  25  00   721.89  -420.95   300.94
2002  12  21  00  26  00   726.85  -421.98   304.87
2002  12  21  00  27  00   703.01  -399.96   303.05
2002  12  21  00  28  00   687.92  -399.62   288.30
2002  12  21  00  29  00   680.87  -388.86   292.01
2002  12  21  00  30  00   669.83  -389.36   280.47
2002  12  21  00  31  00   700.74  -439.57   261.17
2002  12  21  00  32  00   748.16  -484.82   263.34
2002  12  21  00  33  00   717.45  -439.25   278.21
2002  12  21  00  34  00   702.49  -413.11   289.38
2002  12  21  00  35  00   706.30  -424.29   282.01
2002  12  21  00  36  00   653.53  -400.79   252.74
2002  12  21  00  37  00   618.97  -360.39   258.58
2002  12  21  00  38  00   603.26  -350.84   252.43
2002  12  21  00  39  00   626.42  -371.30   255.11
2002  12  21  00  40  00   658.93  -384.80   274.14
2002  12  21  00  41  00   678.95  -402.21   276.75
2002  12  21  00  42  00   692.65  -428.12   264.53
2002  12  21  00  43  00   694.42  -451.19   243.23
2002  12  21  00  44  00   683.49  -463.12   220.37
2002  12  21  00  45  00   664.49  -454.88   209.61
2002  12  21  00  46  00   633.35  -431.08   202.27
2002  12  21  00  47  00   612.89  -415.37   197.52
2002  12  21  00  48  00   585.22  -412.49   172.73
2002  12  21  00  49  00   574.86  -414.17   160.68
2002  12  21  00  50  00   571.60  -410.12   161.48
2002  12  21  00  51  00   567.95  -419.54   148.42
2002  12  21  00  52  00   569.08  -425.75   143.33
2002  12  21  00  53  00   556.99  -419.13   137.86
2002  12  21  00  54  00   534.55  -396.32   138.23
2002  12  21  00  55  00   526.93  -389.58   137.35
2002  12  21  00  56  00   536.72  -395.56   141.17
2002  12  21  00  57  00   548.59  -407.82   140.78
2002  12  21  00  58  00   545.74  -406.80   138.94
2002  12  21  00  59  00   549.81  -412.12   137.69
2002  12  21  01  00  00   563.61  -429.47   134.14
2002  12  21  01  01  00   579.84  -435.19   144.65
2002  12  21  01  02  00   565.57  -431.43   134.14
