Output of newbins.pro (FIXED 977 12/00 SCS)
N2 branching ratios and cross sections.
  
 Wavelength Bins (A)  X      A      B      C      F     Diss   TotIon   TotAbs
    0.50      1.00   0.01   0.01   0.00   0.00   0.00   0.97   0.00003   0.00003
    1.00      2.00   0.01   0.01   0.00   0.00   0.00   0.97   0.00030   0.00030
    2.00      4.00   0.01   0.01   0.00   0.00   0.00   0.97   0.00300   0.00300
    4.00      8.00   0.01   0.01   0.00   0.00   0.00   0.97   0.01500   0.01500
    8.00     18.00   0.01   0.01   0.00   0.00   0.00   0.97   0.09000   0.09000
   18.00     23.00   0.01   0.01   0.00   0.00   0.00   0.97   0.70791   0.70791
   23.00     32.00   0.01   0.02   0.00   0.00   0.00   0.96   0.97757   0.97757
   32.00     44.00   0.22   0.30   0.09   0.02   0.06   0.31   0.14597   0.14597
   44.00     60.00   0.23   0.31   0.09   0.02   0.06   0.29   0.27710   0.27710
   60.00     70.00   0.23   0.32   0.09   0.02   0.06   0.28   0.43398   0.43398
   70.00     80.00   0.23   0.32   0.09   0.01   0.06   0.27   0.61375   0.61375
   80.00     90.00   0.24   0.32   0.09   0.01   0.06   0.27   0.85997   0.85997
   90.00    100.00   0.24   0.33   0.09   0.01   0.06   0.27   1.12893   1.12893
  100.00    110.00   0.24   0.33   0.09   0.01   0.06   0.27   1.40055   1.40055
  110.00    120.00   0.24   0.33   0.10   0.01   0.06   0.26   1.73390   1.73390
  120.00    130.00   0.25   0.34   0.10   0.01   0.05   0.24   2.18436   2.18436
  130.00    140.00   0.25   0.34   0.10   0.01   0.05   0.24   2.42171   2.42171
  140.00    150.00   0.26   0.35   0.10   0.01   0.05   0.23   3.02960   3.02960
  150.00    160.00   0.25   0.35   0.10   0.01   0.05   0.24   3.50012   3.50012
  160.00    170.00   0.25   0.34   0.10   0.01   0.05   0.24   4.10364   4.10364
  170.00    180.00   0.25   0.34   0.10   0.01   0.05   0.24   4.45884   4.45884
  180.00    190.00   0.25   0.34   0.10   0.01   0.05   0.25   5.07793   5.07793
  190.00    200.00   0.24   0.33   0.10   0.01   0.06   0.26   5.73054   5.73054
  200.00    210.00   0.24   0.33   0.10   0.01   0.06   0.26   6.39501   6.39501
  210.00    220.00   0.24   0.33   0.10   0.01   0.06   0.27   7.39335   7.39335
  220.00    230.00   0.23   0.32   0.09   0.01   0.06   0.28   8.32086   8.32086
  230.00    240.00   0.23   0.32   0.09   0.01   0.06   0.29   9.08819   9.08819
  240.00    250.00   0.23   0.32   0.09   0.01   0.06   0.28   9.71229   9.71229
  250.00    260.00   0.24   0.35   0.09   0.01   0.05   0.26  10.20899  10.20899
  260.00    270.00   0.24   0.37   0.09   0.01   0.05   0.23  10.35440  10.35440
  270.00    280.00   0.24   0.41   0.08   0.02   0.06   0.19  10.61876  10.61876
  280.00    290.00   0.24   0.42   0.09   0.02   0.07   0.16  10.91027  10.91027
  290.00    300.00   0.24   0.42   0.10   0.02   0.08   0.13  11.23724  11.23724
  300.00    310.00   0.24   0.43   0.11   0.02   0.10   0.09  11.69806  11.69806
  310.00    320.00   0.25   0.43   0.12   0.03   0.11   0.06  12.53051  12.53051
  320.00    330.00   0.25   0.44   0.12   0.03   0.11   0.06  12.77500  12.77500
  330.00    340.00   0.26   0.46   0.12   0.03   0.11   0.03  13.98500  13.98500
  340.00    350.00   0.28   0.47   0.11   0.03   0.09   0.02  15.01358  15.01358
  350.00    360.00   0.30   0.47   0.11   0.03   0.08   0.01  15.82100  15.82100
  360.00    370.00   0.33   0.47   0.10   0.03   0.06   0.01  16.86292  16.86292
  370.00    380.00   0.36   0.46   0.10   0.03   0.05   0.00  17.92595  17.92595
  380.00    390.00   0.39   0.45   0.09   0.03   0.03   0.00  18.98897  18.98897
  390.00    400.00   0.42   0.43   0.09   0.03   0.02   0.00  20.05200  20.05200
  400.00    410.00   0.42   0.44   0.09   0.03   0.02   0.00  20.27693  20.27693
  410.00    420.00   0.42   0.45   0.09   0.03   0.01   0.00  21.62100  21.62100
  420.00    430.00   0.43   0.44   0.09   0.03   0.01   0.00  22.22701  22.22701
  430.00    440.00   0.43   0.44   0.09   0.04   0.00   0.00  22.83301  22.83301
  440.00    450.00   0.43   0.44   0.08   0.04   0.00   0.00  22.95151  22.95151
  450.00    460.00   0.43   0.45   0.08   0.04   0.00   0.00  23.07000  23.07000
  460.00    470.00   0.42   0.46   0.07   0.05   0.00   0.00  23.16447  23.16447
  470.00    480.00   0.41   0.46   0.07   0.05   0.00   0.00  23.43337  23.43337
  480.00    490.00   0.41   0.47   0.08   0.04   0.00   0.00  23.54288  23.54288
  490.00    500.00   0.41   0.49   0.08   0.02   0.00   0.00  23.50000  23.50000
  500.00    510.00   0.40   0.51   0.08   0.01   0.00   0.00  23.63629  23.63629
  510.00    520.00   0.40   0.52   0.08   0.00   0.00   0.00  24.25000  24.25000
  520.00    530.00   0.39   0.52   0.09   0.00   0.00   0.00  24.78333  24.78333
  530.00    540.00   0.38   0.52   0.10   0.00   0.00   0.00  25.23100  25.23100
