#Query parameters
#parameter: f10_7_adj
#start_date: 2000-01-01 00:00
#end_date: 2021-12-31 00:00
#output_type: csv
#
#Metadata
#name: F10.7 Daily Observed Flux Density Adjusted
#short: F10.7 adjusted
#
#Results
#number of rows: 24051
#columns: datetime;F10.7 adjusted
#units:  ;"sfu"
#
2000-01-01 18:00:00;124
2000-01-01 20:00:00;125
2000-01-01 22:00:00;126
2000-01-02 18:00:00;129
2000-01-02 20:00:00;128
2000-01-02 22:00:00;133
2000-01-03 18:00:00;128
2000-01-03 20:00:00;128
2000-01-03 22:00:00;129
2000-01-04 18:00:00;130
2000-01-04 20:00:00;130
2000-01-04 22:00:00;132
2000-01-05 18:00:00;128
2000-01-05 20:00:00;132
2000-01-05 22:00:00;135
2000-01-06 18:00:00;136
2000-01-06 20:00:00;140
2000-01-06 22:00:00;142
2000-01-07 18:00:00;142
2000-01-07 20:00:00;144
2000-01-07 22:00:00;148
2000-01-08 18:00:00;150
2000-01-08 20:00:00;149
2000-01-08 22:00:00;148
2000-01-09 18:00:00;150
2000-01-09 20:00:00;155
2000-01-09 22:00:00;156
2000-01-10 18:00:00;155
2000-01-10 20:00:00;157
2000-01-10 22:00:00;158
2000-01-11 18:00:00;167
2000-01-11 20:00:00;171
2000-01-11 22:00:00;174
2000-01-12 18:00:00;184
2000-01-12 20:00:00;189
2000-01-12 22:00:00;193
2000-01-13 18:00:00;190
2000-01-13 20:00:00;195
2000-01-13 22:00:00;192
2000-01-14 18:00:00;202
2000-01-14 20:00:00;194
2000-01-14 22:00:00;202
2000-01-15 18:00:00;201
2000-01-15 20:00:00;203
2000-01-15 22:00:00;205
2000-01-16 18:00:00;197
2000-01-16 20:00:00;201
2000-01-16 22:00:00;202
2000-01-17 18:00:00;192
2000-01-17 20:00:00;190
2000-01-17 22:00:00;193
2000-01-18 18:00:00;197
2000-01-18 20:00:00;188
2000-01-18 22:00:00;185
2000-01-19 18:00:00;174
2000-01-19 20:00:00;172
2000-01-19 22:00:00;171
2000-01-20 18:00:00;162
2000-01-20 20:00:00;165
2000-01-20 22:00:00;167
2000-01-21 18:00:00;156
2000-01-21 20:00:00;154
2000-01-21 22:00:00;151
2000-01-22 18:00:00;149
2000-01-22 20:00:00;145
2000-01-22 22:00:00;145
2000-01-23 18:00:00;137
2000-01-23 20:00:00;136
2000-01-23 22:00:00;136
2000-01-24 18:00:00;135
2000-01-24 20:00:00;136
2000-01-24 22:00:00;137
2000-01-25 18:00:00;134
2000-01-25 20:00:00;133
2000-01-25 22:00:00;134
2000-01-26 18:00:00;135
2000-01-26 20:00:00;136
2000-01-26 22:00:00;136
2000-01-27 18:00:00;128
2000-01-27 20:00:00;128
2000-01-27 22:00:00;128
2000-01-28 18:00:00;122
2000-01-28 20:00:00;147
2000-01-28 22:00:00;131
2000-01-29 18:00:00;124
2000-01-29 20:00:00;123
2000-01-29 22:00:00;123
2000-01-30 18:00:00;126
2000-01-30 20:00:00;128
2000-01-30 22:00:00;128
2000-01-31 18:00:00;131
2000-01-31 20:00:00;134
2000-01-31 22:00:00;137
2000-02-01 18:00:00;84
2000-02-01 20:00:00;134
2000-02-01 22:00:00;135
2000-02-02 18:00:00;138
2000-02-02 20:00:00;140
2000-02-02 22:00:00;141
2000-02-03 18:00:00;146
2000-02-03 20:00:00;149
2000-02-03 22:00:00;149
2000-02-04 18:00:00;155
2000-02-04 20:00:00;162
2000-02-04 22:00:00;159
2000-02-05 18:00:00;161
2000-02-05 20:00:00;163
2000-02-05 22:00:00;164
2000-02-06 18:00:00;170
2000-02-06 20:00:00;172
2000-02-06 22:00:00;174
2000-02-07 18:00:00;175
2000-02-07 20:00:00;177
2000-02-07 22:00:00;178
2000-02-08 18:00:00;173
2000-02-08 20:00:00;169
2000-02-08 22:00:00;171
2000-02-09 18:00:00;170
2000-02-09 20:00:00;193
2000-02-09 22:00:00;179
2000-02-10 18:00:00;171
2000-02-10 20:00:00;171
2000-02-10 22:00:00;172
2000-02-11 18:00:00;167
2000-02-11 20:00:00;165
2000-02-11 22:00:00;164
2000-02-12 18:00:00;159
2000-02-12 20:00:00;159
2000-02-12 22:00:00;159
2000-02-13 18:00:00;154
2000-02-13 20:00:00;155
2000-02-13 22:00:00;159
