 Spectral data from ../../Hitr04/02_hit04.par_fmt                               
           220.0    es la weighting temperature
          36  es el no. de temp. diferentes
   720.805   649.000   791.000       central wave#, min w#, max w#
  3     no. grupos en este intervalo :
 number     strength   alor_self    alor_air      a_dop  spacing
 500.00
   21.0  2.867280E-24  4.7962E-02  4.8572E-02  9.3235E-04   1.1123E+00
   35.0  1.281831E-22  5.3614E-02  5.1267E-02  9.3374E-04   1.1382E+00
   81.0  3.855230E-21  7.6365E-02  5.7909E-02  9.3464E-04   1.0091E+00
 390.00
   21.0  2.203175E-24  4.8732E-02  4.9345E-02  9.2037E-04   1.1123E+00
   35.0  1.100207E-22  5.4638E-02  5.2223E-02  9.2185E-04   1.1382E+00
   81.0  3.691374E-21  7.8028E-02  5.9097E-02  9.2286E-04   1.0091E+00
 380.00
   21.0  1.667174E-24  4.9535E-02  5.0152E-02  9.0822E-04   1.1123E+00
   35.0  9.355407E-23  5.5711E-02  5.3224E-02  9.0980E-04   1.1382E+00
   81.0  3.521591E-21  7.9770E-02  6.0342E-02  9.1094E-04   1.0091E+00
 370.00
   21.0  1.240884E-24  5.0375E-02  5.0994E-02  8.9591E-04   1.1123E+00
   35.0  7.875395E-23  5.6836E-02  5.4274E-02  8.9759E-04   1.1382E+00
   81.0  3.346392E-21  8.1598E-02  6.1646E-02  8.9886E-04   1.0091E+00
 360.00
   21.0  9.072058E-25  5.1253E-02  5.1876E-02  8.8343E-04   1.1123E+00
   35.0  6.557606E-23  5.8017E-02  5.5375E-02  8.8521E-04   1.1382E+00
   81.0  3.166381E-21  8.3518E-02  6.3015E-02  8.8661E-04   1.0091E+00
 350.00
   21.0  6.504974E-25  5.2174E-02  5.2800E-02  8.7077E-04   1.1123E+00
   35.0  5.396149E-23  5.9260E-02  5.6533E-02  8.7266E-04   1.1382E+00
   81.0  2.982250E-21  8.5536E-02  6.4454E-02  8.7419E-04   1.0091E+00
 340.00
   21.0  4.566827E-25  5.3139E-02  5.3769E-02  8.5791E-04   1.1123E+00
   35.0  4.383744E-23  6.0568E-02  5.7751E-02  8.5992E-04   1.1382E+00
   81.0  2.794788E-21  8.7661E-02  6.5967E-02  8.6160E-04   1.0091E+00
 330.00
   21.0  3.133210E-25  5.4154E-02  5.4787E-02  8.4486E-04   1.1123E+00
   35.0  3.511834E-23  6.1948E-02  5.9035E-02  8.4699E-04   1.1382E+00
   81.0  2.604878E-21  8.9902E-02  6.7562E-02  8.4882E-04   1.0091E+00
 320.00
   21.0  2.096266E-25  5.5222E-02  5.5859E-02  8.3161E-04   1.1123E+00
   35.0  2.770739E-23  6.3405E-02  6.0391E-02  8.3386E-04   1.1382E+00
   81.0  2.413498E-21  9.2268E-02  6.9245E-02  8.3585E-04   1.0091E+00
 310.00
   21.0  1.364407E-25  5.6347E-02  5.6987E-02  8.1813E-04   1.1123E+00
   35.0  2.149837E-23  6.4947E-02  6.1826E-02  8.2051E-04   1.1382E+00
   81.0  2.221719E-21  9.4769E-02  7.1023E-02  8.2267E-04   1.0091E+00
 300.00
   21.0  8.615999E-26  5.7535E-02  5.8179E-02  8.0443E-04   1.1123E+00
   35.0  1.637792E-23  6.6582E-02  6.3345E-02  8.0695E-04   1.1382E+00
   81.0  2.030700E-21  9.7418E-02  7.2906E-02  8.0928E-04   1.0091E+00
 290.00
   21.0  5.262530E-26  5.8791E-02  5.9438E-02  7.9049E-04   1.1123E+00
   35.0  1.222800E-23  6.8318E-02  6.4958E-02  7.9315E-04   1.1382E+00
   81.0  1.841676E-21  1.0023E-01  7.4904E-02  7.9566E-04   1.0091E+00
 280.00
   21.0  3.098041E-26  6.0123E-02  6.0773E-02  7.7629E-04   1.1123E+00
   35.0  8.928640E-24  7.0166E-02  6.6674E-02  7.7910E-04   1.1382E+00
   81.0  1.655949E-21  1.0322E-01  7.7026E-02  7.8181E-04   1.0091E+00
 270.00
   21.0  1.750804E-26  6.1536E-02  6.2190E-02  7.6182E-04   1.1123E+00
   35.0  6.360727E-24  7.2137E-02  6.8503E-02  7.6479E-04   1.1382E+00
   81.0  1.474870E-21  1.0640E-01  7.9286E-02  7.6771E-04   1.0091E+00
 260.00
   21.0  9.454452E-27  6.3041E-02  6.3698E-02  7.4707E-04   1.1123E+00
   35.0  4.408815E-24  7.4244E-02  7.0458E-02  7.5021E-04   1.1382E+00
   81.0  1.299819E-21  1.0979E-01  8.1697E-02  7.5334E-04   1.0091E+00
 250.00
   21.0  4.852410E-27  6.4646E-02  6.5307E-02  7.3201E-04   1.1123E+00
   35.0  2.963782E-24  7.6502E-02  7.2552E-02  7.3533E-04   1.1382E+00
   81.0  1.132176E-21  1.1342E-01  8.4277E-02  7.3870E-04   1.0091E+00
 240.00
   21.0  2.352303E-27  6.6363E-02  6.7027E-02  7.1663E-04   1.1123E+00
   35.0  1.925174E-24  7.8929E-02  7.4801E-02  7.2015E-04   1.1382E+00
   81.0  9.732936E-22  1.1732E-01  8.7043E-02  7.2377E-04   1.0091E+00
 230.00
   21.0  1.069232E-27  6.8204E-02  6.8872E-02  7.0091E-04   1.1123E+00
   35.0  1.203123E-24  8.1546E-02  7.7224E-02  7.0463E-04   1.1382E+00
   81.0  8.244559E-22  1.2150E-01  9.0018E-02  7.0852E-04   1.0091E+00
 220.00
   21.0  4.518068E-28  7.0185E-02  7.0856E-02  6.8481E-04   1.1123E+00
   35.0  7.196930E-25  8.4375E-02  7.9844E-02  6.8875E-04   1.1382E+00
   81.0  6.868398E-22  1.2602E-01  9.3228E-02  6.9293E-04   1.0091E+00
 210.00
   21.0  1.756676E-28  7.2322E-02  7.2998E-02  6.6832E-04   1.1123E+00
   35.0  4.095898E-25  8.7446E-02  8.2685E-02  6.7250E-04   1.1382E+00
   81.0  5.614674E-22  1.3090E-01  9.6702E-02  6.7699E-04   1.0091E+00
 200.00
   21.0  6.208200E-29  7.4638E-02  7.5317E-02  6.5139E-04   1.1123E+00
   35.0  2.201736E-25  9.0792E-02  8.5779E-02  6.5584E-04   1.1382E+00
   81.0  4.491576E-22  1.3620E-01  1.0048E-01  6.6067E-04   1.0091E+00
 190.00
   21.0  1.964916E-29  7.7157E-02  7.7839E-02  6.3400E-04   1.1123E+00
   35.0  1.108136E-25  9.4452E-02  8.9162E-02  6.3873E-04   1.1382E+00
   81.0  3.504759E-22  1.4198E-01  1.0459E-01  6.4393E-04   1.0091E+00
 180.00
   21.0  5.469912E-30  7.9908E-02  8.0594E-02  6.1610E-04   1.1123E+00
   35.0  5.166509E-26  9.8476E-02  9.2879E-02  6.2114E-04   1.1382E+00
   81.0  2.656876E-22  1.4831E-01  1.0910E-01  6.2675E-04   1.0091E+00
 170.00
   21.0  1.309783E-30  8.2929E-02  8.3618E-02  5.9765E-04   1.1123E+00
   35.0  2.202243E-26  1.0292E-01  9.6984E-02  6.0303E-04   1.1382E+00
   81.0  1.947160E-22  1.5527E-01  1.1407E-01  6.0908E-04   1.0091E+00
 160.00
   21.0  2.623779E-31  8.6263E-02  8.6955E-02  5.7860E-04   1.1123E+00
   35.0  8.442533E-27  1.0786E-01  1.0154E-01  5.8435E-04   1.1382E+00
   81.0  1.371136E-22  1.6297E-01  1.1957E-01  5.9089E-04   1.0091E+00
 150.00
   21.0  4.245182E-32  8.9966E-02  9.0662E-02  5.5887E-04   1.1123E+00
   35.0  2.851102E-27  1.1339E-01  1.0664E-01  5.6504E-04   1.1382E+00
   81.0  9.205074E-23  1.7155E-01  1.2570E-01  5.7212E-04   1.0091E+00
 140.00
   21.0  5.302846E-33  9.4108E-02  9.4806E-02  5.3840E-04   1.1123E+00
   35.0  8.258956E-28  1.1963E-01  1.1239E-01  5.4504E-04   1.1382E+00
   81.0  5.833022E-23  1.8116E-01  1.3259E-01  5.5271E-04   1.0091E+00
 130.00
   21.0  4.821470E-34  9.8778E-02  9.9479E-02  5.1712E-04   1.1123E+00
   35.0  1.982050E-28  1.2671E-01  1.1891E-01  5.2427E-04   1.1382E+00
   81.0  3.443395E-23  1.9204E-01  1.4038E-01  5.3260E-04   1.0091E+00
 120.00
   21.0  2.950180E-35  1.0409E-01  1.0479E-01  4.9491E-04   1.1123E+00
   35.0  3.762516E-29  1.3484E-01  1.2640E-01  5.0264E-04   1.1382E+00
   81.0  1.860833E-23  2.0446E-01  1.4931E-01  5.1170E-04   1.0091E+00
 110.00
   21.0  1.091801E-36  1.1021E-01  1.1091E-01  4.7170E-04   1.1123E+00
   35.0  5.304294E-30  1.4428E-01  1.3508E-01  4.8004E-04   1.1382E+00
   81.0  8.988308E-24  2.1881E-01  1.5963E-01  4.8991E-04   1.0091E+00
 100.00
   21.0  2.104898E-38  1.1733E-01  1.1803E-01  4.4735E-04   1.1123E+00
   35.0  5.084396E-31  1.5539E-01  1.4529E-01  4.5636E-04   1.1382E+00
   81.0  3.752762E-24  2.3563E-01  1.7175E-01  4.6710E-04   1.0091E+00
  90.00
   21.0  1.704343E-40  1.2574E-01  1.2644E-01  4.2176E-04   1.1123E+00
   35.0  2.917212E-32  1.6866E-01  1.5749E-01  4.3143E-04   1.1382E+00
   81.0  1.290300E-24  2.5568E-01  1.8623E-01  4.4313E-04   1.0091E+00
  80.00
   21.0  4.196074E-43  1.3587E-01  1.3657E-01  3.9482E-04   1.1123E+00
   35.0  8.275075E-34  1.8482E-01  1.7235E-01  4.0510E-04   1.1382E+00
   81.0  3.397183E-25  2.8009E-01  2.0390E-01  4.1778E-04   1.0091E+00
  70.00
   21.0  1.890265E-46  1.4834E-01  1.4903E-01  3.6643E-04   1.1123E+00
   35.0  8.591287E-36  2.0500E-01  1.9089E-01  3.7713E-04   1.1382E+00
   81.0  6.109258E-26  3.1063E-01  2.2604E-01  3.9079E-04   1.0091E+00
  60.00
   21.0  6.673155E-51  1.6411E-01  1.6480E-01  3.3651E-04   1.1123E+00
   35.0  1.976511E-38  2.3096E-01  2.1477E-01  3.4726E-04   1.1382E+00
   81.0  6.202048E-27  3.5019E-01  2.5479E-01  3.6180E-04   1.0091E+00
  20.00
   21.0  3.809524E-39  1.5701E-01  1.6116E-01  3.3256E-04   1.1123E+00
   35.0  4.077142E-42  2.6577E-01  2.4682E-01  3.1513E-04   1.1382E+00
   81.0  2.522150E-28  4.0392E-01  2.9392E-01  3.3027E-04   1.0091E+00
