GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:   300.000 Eddy P0:     0.005 Eddy P1:     0.001
# Statistical Models Only:  F Apex:  T
# EUV Data:  F
# AMIE: none           
none                                                                                                
# Solar Heating:  T Joule Heating:  T Auroral Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs SubsolarLon SubsolarLat SubsolarVTEC
       2 2002 12 21  0  0  4 239  4.2391    157.61772   1265.15120    962.69827     -0.54575      0.47077     -0.08024    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.14128  -0.40992  46.26908
       3 2002 12 21  0  0  8 433  4.1946    157.64917   1264.86100    962.73175     -1.05701      0.95777     -0.15669    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.14098  -0.40992  46.10231
       4 2002 12 21  0  0 12 633  4.2001    157.65505   1264.56294    962.77881     -1.51505      1.37760     -0.23106    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.14067  -0.40992  46.00457
       5 2002 12 21  0  0 16 839  4.2057    157.64751   1264.26325    962.83441     -1.88422      1.75573     -0.30409    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.14037  -0.40992  45.92106
       6 2002 12 21  0  0 21  49  4.2104    157.62979   1263.96710    962.89582     -2.14754      2.10154     -0.37562    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.14006  -0.40992  45.84111
       7 2002 12 21  0  0 25 264  4.2143    157.62819   1263.67798    962.96156     -2.41802      2.46148     -0.44534    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13976  -0.40992  45.76469
       8 2002 12 21  0  0 29 481  4.2172    157.64137   1263.39775    963.03064     -2.73729      2.75536     -0.51298    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13945  -0.40992  45.68840
       9 2002 12 21  0  0 33 699  4.2185    157.66331   1263.12704    963.10231     -3.15427      2.95624     -0.57837    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13914  -0.40992  45.61489
      10 2002 12 21  0  0 37 917  4.2179    157.66797   1262.86598    963.17608     -3.56540      3.05332     -0.64146    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13884  -0.40992  45.54140
      11 2002 12 21  0  0 42 136  4.2184    157.66632   1262.61415    963.25163     -3.96016      3.10658     -0.70223    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13853  -0.40992  45.47061
      12 2002 12 21  0  0 46 352  4.2166    157.67040   1262.37148    963.32863     -4.38260      3.24153     -0.76056    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13822  -0.40992  45.39987
      13 2002 12 21  0  0 50 565  4.2125    157.68705   1262.13782    963.40685     -4.82061      3.26325     -0.81640    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13792  -0.40992  45.33166
      14 2002 12 21  0  0 54 773  4.2078    157.70479   1261.91290    963.48605     -5.24776      3.30393     -0.86985    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13761  -0.40992  45.26347
      15 2002 12 21  0  0 58 976  4.2032    157.70829   1261.69653    963.56608     -5.65278      3.34479     -0.92093    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13730  -0.40992  45.19776
      16 2002 12 21  0  1  3 175  4.1988    157.70449   1261.48870    963.64684     -6.02694      3.42073     -0.96964    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13700  -0.40992  45.13200
      17 2002 12 21  0  1  7 369  4.1942    157.70078   1261.28944    963.72828     -6.36323      3.53549     -1.01591    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13669  -0.40992  45.06878
      18 2002 12 21  0  1 11 558  4.1895    157.70181   1261.09887    963.81022     -6.86788      3.56127     -1.05979    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13639  -0.40992  45.00547
      19 2002 12 21  0  1 15 743  4.1844    157.70758   1260.91710    963.89256     -7.38256      3.75074     -1.10120    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13608  -0.40992  44.94423
      20 2002 12 21  0  1 19 923  4.1798    157.70715   1260.74411    963.97518     -7.87778      3.80731     -1.14022    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13578  -0.40992  44.88264
      21 2002 12 21  0  1 24  99  4.1760    157.69816   1260.57999    964.05805     -8.35392      3.84019     -1.17682    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13548  -0.40992  44.82300
      22 2002 12 21  0  1 28 271  4.1728    157.68680   1260.63363    964.14107     -8.91391      4.13662     -1.21104    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13517  -0.40992  44.76312
      23 2002 12 21  0  1 32 442  4.1702    157.68070   1260.74515    964.22420     -9.48279      4.54324     -1.24279    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13487  -0.40992  44.70511
      24 2002 12 21  0  1 36 610  4.1680    157.68020   1260.85894    964.30733    -10.03399      4.95376     -1.27214    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13457  -0.40992  44.64678
      25 2002 12 21  0  1 40 776  4.1663    157.67941   1260.97080    964.39041    -10.55953      5.39270     -1.29909    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13426  -0.40992  44.59024
      26 2002 12 21  0  1 44 941  4.1654    157.67136   1261.08449    964.47336    -11.05621      5.85768     -1.32361    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13396  -0.40992  44.53335
      27 2002 12 21  0  1 49 106  4.1652    157.65683   1261.19690    964.55614    -11.58639      6.32993     -1.34577    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13366  -0.40992  44.47813
      28 2002 12 21  0  1 53 272  4.1655    157.64598   1261.30917    964.63866    -12.14627      6.80647     -1.36555    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13336  -0.40992  44.42251
      29 2002 12 21  0  1 57 438  4.1659    157.64314   1261.42362    964.72086    -12.67124      7.28388     -1.38287    150.0    150.0      0.0     -2.0    400.0      1.0      1.2      0.8   3.13305  -0.40992  44.36852
