GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:   300.000 Eddy P0:     0.005 Eddy P1:     0.001
# Statistical Models Only:  F Apex:  T
# EUV Data:  F
# AMIE: none           
none                                                                                                
# Solar Heating:  T Joule Heating:  T Auroral Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs SubsolarLon SubsolarLat SubsolarVTEC
       2 2017  8 21  0  0  4 896  4.8960    177.13368    905.41277    814.25179     -0.43887      0.59902     -0.08970     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.14124   0.20274  -1.00000
       3 2017  8 21  0  0  9 763  4.8679    177.15086    905.00227    814.07977     -0.81838      1.12356     -0.17611     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.14088   0.20274  -1.00000
       4 2017  8 21  0  0 14 633  4.8698    177.17205    904.63186    813.92028     -1.12944      1.59687     -0.26550     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.14053   0.20274  -1.00000
       5 2017  8 21  0  0 19 506  4.8725    177.20018    904.28408    813.76847     -1.37965      2.04332     -0.35970     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.14017   0.20274  -1.00000
       6 2017  8 21  0  0 24 382  4.8764    177.24327    903.95060    813.62251     -1.57447      2.41107     -0.45914     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13982   0.20274  -1.00000
       7 2017  8 21  0  0 29 260  4.8781    177.30196    903.62735    813.48167     -1.73429      2.70276     -0.56298     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13946   0.20274  -1.00000
       8 2017  8 21  0  0 34 134  4.8739    177.36525    903.31248    813.34572     -1.92447      2.95028     -0.67062     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13911   0.20273  -1.00000
       9 2017  8 21  0  0 39   4  4.8701    177.41666    903.00491    813.21436     -2.14794      3.21789     -0.78250     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13876   0.20273  -1.00000
      10 2017  8 21  0  0 43 872  4.8673    177.46178    902.70417    813.08753     -2.34483      3.42152     -0.89828     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13840   0.20273  -1.00000
      11 2017  8 21  0  0 48 737  4.8653    177.51505    902.41011    812.96530     -2.55024      3.54933     -1.01752     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13805   0.20273  -1.00000
      12 2017  8 21  0  0 53 602  4.8649    177.56156    902.12273    812.84763     -2.75509      3.64749     -1.13986     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13769   0.20273  -1.00000
      13 2017  8 21  0  0 58 468  4.8663    177.59055    901.84208    812.73448     -2.93427      3.79152     -1.26512     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13734   0.20273  -1.00000
      14 2017  8 21  0  1  3 337  4.8690    177.60587    901.56810    812.62584     -3.08367      3.89435     -1.39338     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13699   0.20273  -1.00000
      15 2017  8 21  0  1  8 209  4.8722    177.62351    901.30070    812.52174     -3.26847      4.03939     -1.52436     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13663   0.20273  -1.00000
      16 2017  8 21  0  1 13  83  4.8733    177.63180    901.04005    812.42226     -3.43062      4.09658     -1.65693     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13628   0.20273  -1.00000
      17 2017  8 21  0  1 17 950  4.8672    177.62371    900.78676    812.32747     -3.57509      4.30005     -1.79000     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13592   0.20273  -1.00000
      18 2017  8 21  0  1 22 811  4.8611    177.60432    900.54093    812.23721     -3.75351      4.46862     -1.92375     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13557   0.20273  -1.00000
      19 2017  8 21  0  1 27 667  4.8557    177.58760    900.30239    812.15136     -3.90523      4.74156     -2.05770     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13522   0.20273  -1.00000
      20 2017  8 21  0  1 32 518  4.8512    177.57600    900.07072    812.06982     -4.27037      4.91324     -2.19196     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13486   0.20273  -1.00000
      21 2017  8 21  0  1 37 366  4.8480    177.55156    899.84552    811.99246     -4.58914      5.19459     -2.32559     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13451   0.20273  -1.00000
      22 2017  8 21  0  1 42 211  4.8453    177.51232    899.62655    811.91925     -5.07860      5.50015     -2.45831     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13416   0.20273  -1.00000
      23 2017  8 21  0  1 47  54  4.8431    177.47539    899.41364    811.85020     -5.51394      5.86620     -2.59091     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13381   0.20273  -1.00000
      24 2017  8 21  0  1 51 896  4.8418    177.44985    899.20652    811.78528     -6.22441      6.26026     -2.72037     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13346   0.20273  -1.00000
      25 2017  8 21  0  1 56 738  4.8416    177.42348    899.00506    811.72447     -6.52513      6.49134     -2.84844     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13310   0.20273  -1.00000
      26 2017  8 21  0  2  1 579  4.8419    177.38667    898.80875    811.66760     -7.08708      7.05337     -2.97455     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13275   0.20273  -1.00000
      27 2017  8 21  0  2  6 422  4.8427    177.34924    898.61697    811.61466     -7.55220      7.46613     -3.09731     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13240   0.20273  -1.00000
      28 2017  8 21  0  2 11 266  4.8440    177.32487    898.42919    811.56574     -8.34300      8.01101     -3.21891     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13205   0.20273  -1.00000
      29 2017  8 21  0  2 16 112  4.8462    177.31088    898.24485    811.52098     -8.88202      8.56959     -3.33801     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13169   0.20273  -1.00000
      30 2017  8 21  0  2 20 961  4.8490    177.28936    898.06366    811.48033     -9.15717      8.88874     -3.45143     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13134   0.20273  -1.00000
      31 2017  8 21  0  2 25 813  4.8519    177.26326    897.88527    811.44381     -9.96908      9.67318     -3.56298     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13099   0.20273  -1.00000
      32 2017  8 21  0  2 30 668  4.8550    177.24527    897.70887    811.41167    -10.37316     10.25212     -3.67160     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13064   0.20273  -1.00000
      33 2017  8 21  0  2 35 526  4.8576    177.24042    897.53411    811.38393    -11.45780     10.85013     -3.77457     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13028   0.20273  -1.00000
      34 2017  8 21  0  2 40 386  4.8600    177.23841    897.36032    811.36097    -11.91973     11.65239     -3.87447     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12993   0.20273  -1.00000
      35 2017  8 21  0  2 45 248  4.8626    177.23484    897.18691    811.34296    -12.29596     12.12894     -3.96843     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12958   0.20273  -1.00000
      36 2017  8 21  0  2 50 114  4.8654    177.23074    897.01351    811.33012    -13.09249     12.97782     -4.05706     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12922   0.20272  -1.00000
      37 2017  8 21  0  2 54 982  4.8681    177.23037    896.83982    811.32291    -13.65383     13.81518     -4.14353     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12887   0.20272  -1.00000
      38 2017  8 21  0  2 59 852  4.8701    177.23746    896.66530    811.32196    -15.00185     14.28580     -4.22033     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12851   0.20272  -1.00000
      39 2017  8 21  0  3  4 723  4.8715    177.24846    896.49034    811.32793    -15.52790     15.40433     -4.29061     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12816   0.20272  -1.00000
      40 2017  8 21  0  3  9 596  4.8725    177.26020    896.31518    811.34143    -15.65851     16.16217     -4.35403     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12780   0.20272  -1.00000
      41 2017  8 21  0  3 14 470  4.8736    177.27270    896.14030    811.36324    -16.57168     16.82906     -4.40810     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12745   0.20272  -1.00000
      42 2017  8 21  0  3 19 344  4.8747    177.28561    895.96678    811.39436    -17.30287     18.01527     -4.45615     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12710   0.20272  -1.00000
      43 2017  8 21  0  3 24 220  4.8752    177.29725    895.79652    811.43617    -19.06716     18.67854     -4.49455     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12674   0.20272  -1.00000
      44 2017  8 21  0  3 29  95  4.8752    177.30803    895.63226    811.48977    -19.83668     19.61358     -4.51936     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12639   0.20272  -1.00000
      45 2017  8 21  0  3 33 969  4.8746    177.32073    895.47699    811.55680    -19.34351     20.76361     -4.53552     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12603   0.20272  -1.00000
      46 2017  8 21  0  3 38 843  4.8739    177.33570    895.33535    811.63883    -20.63362     21.20969     -4.54035     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12568   0.20272  -1.00000
      47 2017  8 21  0  3 43 717  4.8733    177.34910    895.21316    811.73762    -21.17896     22.58869     -4.53159     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12532   0.20272  -1.00000
      48 2017  8 21  0  3 48 589  4.8728    177.35807    896.25123    811.85507    -23.55341     23.68655     -4.51249     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12497   0.20272  -1.00000
      49 2017  8 21  0  3 53 461  4.8720    177.36494    897.94901    811.99325    -24.86002     24.06424     -4.47506     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12461   0.20272  -1.00000
      50 2017  8 21  0  3 58 332  4.8708    177.37416    899.53244    812.15420    -24.73542     25.66566     -4.42324     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12426   0.20272  -1.00000
      51 2017  8 21  0  4  3 201  4.8691    177.38609    901.08996    812.33957    -25.32158     26.58257     -4.35703     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12391   0.20272  -1.00000
      52 2017  8 21  0  4  8  68  4.8672    177.39629    902.79411    812.55084    -26.20097     27.28551     -4.27179     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12355   0.20272  -1.00000
      53 2017  8 21  0  4 12 934  4.8656    177.40083    904.30232    812.78930    -28.19933     28.89250     -4.17101     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12320   0.20272  -1.00000
