GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:   300.000 Eddy P0:     0.005 Eddy P1:     0.001
# Statistical Models Only:  F Apex:  F
# EUV Data:  F
# AMIE: none           
none                                                                                                
# Solar Heating:  T Joule Heating:  T Auroral Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs SubsolarLon SubsolarLat SubsolarVTEC
       4 2002  3 18  0  0 14 381  4.7900    194.77798    932.45464    873.35801     -0.75426      0.38614      0.00317    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.14055  -0.01682  -1.00000
       6 2002  3 18  0  0 23 953  4.7841    194.77409    932.43594    873.36742     -1.21665      0.52668      0.02083    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13985  -0.01682  -1.00000
       8 2002  3 18  0  0 33 514  4.7799    194.80839    932.42309    873.36971     -1.60311      0.65930      0.03854    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13916  -0.01682  -1.00000
      10 2002  3 18  0  0 43  72  4.7788    194.83939    932.42342    873.36969     -2.01608      0.80940      0.05471    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13846  -0.01682  -1.00000
      12 2002  3 18  0  0 52 630  4.7795    194.89747    932.43112    873.36904     -2.30655      0.95881      0.06853    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13777  -0.01682  -1.00000
      14 2002  3 18  0  1  2 193  4.7823    194.91680    932.44279    873.36819     -2.53213      1.10150      0.07913    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13707  -0.01682  -1.00000
      16 2002  3 18  0  1 11 761  4.7844    194.94571    932.45759    873.36723     -2.76775      1.23851      0.08594    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13637  -0.01682  -1.00000
      18 2002  3 18  0  1 21 334  4.7872    194.94301    932.47528    873.36587     -3.05831      1.37635      0.08848    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13568  -0.01682  -1.00000
      20 2002  3 18  0  1 30 911  4.7891    194.94548    932.49647    873.36372     -3.61863      1.50945      0.08601    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13498  -0.01682  -1.00000
      22 2002  3 18  0  1 40 493  4.7912    194.93082    932.52078    873.36004     -4.31414      1.65905      0.07860    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13428  -0.01682  -1.00000
      24 2002  3 18  0  1 50  77  4.7927    194.91204    932.54815    873.35390     -4.91960      1.81715      0.06671    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13359  -0.01681  -1.00000
      27 2002  3 18  0  2  4 459  4.7944    194.87538    932.59544    873.33762     -6.06640      2.05850      0.04086    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13254  -0.01681  -1.00000
      29 2002  3 18  0  2 14  47  4.7943    194.84745    932.63162    873.32046     -6.48357      2.21984      0.01972    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13184  -0.01681  -1.00000
      31 2002  3 18  0  2 23 636  4.7943    194.81612    932.67284    873.29687     -7.36363      2.35236     -0.00481    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13115  -0.01681  -1.00000
      33 2002  3 18  0  2 33 225  4.7946    194.78724    932.71612    873.26561     -8.42617      2.48101     -0.03287    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.13045  -0.01681  -1.00000
      35 2002  3 18  0  2 42 814  4.7949    194.75434    932.75975    873.22562     -8.92930      2.59370     -0.06364    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12975  -0.01681  -1.00000
      37 2002  3 18  0  2 52 405  4.7955    194.72464    932.80099    873.17560     -9.82455      2.70656     -0.09902    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12905  -0.01681  -1.00000
      39 2002  3 18  0  3  1 997  4.7962    194.69948    932.83589    873.11438    -10.84540      2.79869     -0.13929    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12836  -0.01681  -1.00000
      41 2002  3 18  0  3 11 590  4.7968    194.67377    932.85928    873.04078    -11.55739      3.50293     -0.18517    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12766  -0.01681  -1.00000
      43 2002  3 18  0  3 21 184  4.7964    194.64745    932.86472    872.95350    -12.40501      3.85335     -0.24011    150.0    150.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.12696  -0.01681  -1.00000
