  lnp(nb)      Tstar11    Tstar21    Tstar31    Tstar41
  16.000      0.0000000  0.0000000  0.0000000  0.0000000
  15.000      0.0000096  0.0002148  0.0001326  0.0000000
  14.000      0.0000192  0.0004296  0.0002653  0.0000000
  13.000      0.0000452  0.0009373  0.0005393  0.0017016
  12.000      0.0000945  0.0018740  0.0008883  0.0050325
  11.000      0.0001437  0.0028107  0.0012373  0.0083635
  10.800      0.0001536  0.0029981  0.0013071  0.0090297
  10.600      0.0001634  0.0031854  0.0013769  0.0096959
  10.400      0.0001733  0.0033728  0.0014467  0.0103621
  10.200      0.0001832  0.0035601  0.0015165  0.0110282
  10.000      0.0001930  0.0037475  0.0015863  0.0116944
   9.800      0.0001993  0.0039649  0.0016244  0.0128528
   9.600      0.0001981  0.0042681  0.0016106  0.0150329
   9.400      0.0001969  0.0045714  0.0015968  0.0172129
   9.200      0.0001957  0.0048746  0.0015829  0.0193930
   9.000      0.0001943  0.0052137  0.0015797  0.0217615
   8.800      0.0001911  0.0058147  0.0016339  0.0263738
   8.600      0.0001863  0.0067131  0.0017537  0.0337602
   8.400      0.0001814  0.0076180  0.0018748  0.0412131
   8.200      0.0001763  0.0085849  0.0020147  0.0493564
   8.000      0.0001712  0.0096407  0.0021714  0.0584940
   7.800      0.0001665  0.0114180  0.0024498  0.0761066
   7.600      0.0001626  0.0139248  0.0028474  0.1019064
   7.400      0.0001596  0.0167055  0.0032883  0.1306000
   7.200      0.0001569  0.0195766  0.0037435  0.1602685
   7.000      0.0001562  0.0230117  0.0042778  0.1934059
   6.800      0.0001635  0.0289198  0.0051379  0.2384569
   6.600      0.0001767  0.0375758  0.0063272  0.2922097
   6.400      0.0001934  0.0477606  0.0076969  0.3493192
   6.200      0.0002117  0.0588141  0.0091608  0.4070405
   6.000      0.0002359  0.0739512  0.0110698  0.4653761
   5.800      0.0002695  0.0957806  0.0137909  0.5230638
   5.600      0.0003082  0.1230976  0.0172501  0.5791932
   5.400      0.0003561  0.1571401  0.0218312  0.6321557
   5.200      0.0004120  0.1963020  0.0274726  0.6820514
   5.000      0.0004723  0.2410576  0.0347931  0.7278287
   4.800      0.0005431  0.2927021  0.0448842  0.7678974
   4.600      0.0006308  0.3484583  0.0580465  0.8034831
   4.400      0.0007332  0.4066327  0.0751548  0.8349590
   4.200      0.0008504  0.4662957  0.0966822  0.8624713
   4.000      0.0009929  0.5252024  0.1259949  0.8850039
   3.800      0.0011497  0.5821441  0.1623146  0.9036562
   3.600      0.0013206  0.6369231  0.2031912  0.9204232
   3.400      0.0015287  0.6880496  0.2499184  0.9347337
   3.200      0.0017899  0.7340264  0.3027134  0.9465833
   3.000      0.0020981  0.7751886  0.3601504  0.9563705
   2.800      0.0024601  0.8094612  0.4214638  0.9638413
   2.600      0.0029003  0.8396200  0.4831837  0.9701391
   2.400      0.0034109  0.8671955  0.5447119  0.9757463
   2.200      0.0040475  0.8912277  0.6042507  0.9804803
   2.000      0.0051349  0.9108523  0.6587918  0.9842339
   1.800      0.0065895  0.9267573  0.7082186  0.9871877
   1.600      0.0085535  0.9392123  0.7514922  0.9894344
   1.400      0.0109619  0.9506600  0.7925540  0.9914804
   1.200      0.0143657  0.9605669  0.8292120  0.9932379
   1.000      0.0188070  0.9686449  0.8608216  0.9946525
   0.800      0.0269037  0.9745333  0.8851101  0.9956696
   0.600      0.0371526  0.9792452  0.9053262  0.9964780
   0.400      0.0491604  0.9835104  0.9238877  0.9972090
   0.200      0.0650168  0.9872338  0.9402785  0.9978471
   0.000      0.0936224  0.9897739  0.9517733  0.9982800
  -0.200      0.1293803  0.9917734  0.9610006  0.9986205
  -0.400      0.1706625  0.9935197  0.9691071  0.9989139
  -0.600      0.2235450  0.9948906  0.9755152  0.9991389
  -0.800      0.2835451  0.9960319  0.9808869  0.9993247
  -1.000      0.3533172  0.9968523  0.9847982  0.9994629
  -1.200      0.4281992  0.9975076  0.9879357  0.9995801
  -1.400      0.5029383  0.9980778  0.9906533  0.9996782
  -1.600      0.5724530  0.9985117  0.9927436  0.9997553
  -1.800      0.6395373  0.9988279  0.9942760  0.9998111
  -2.000      0.7028684  0.9990975  0.9955709  0.9998537
  -3.000      0.9128420  0.9997755  0.9989266  0.9999660
  -4.000      0.9822467  0.9999496  0.9997923  1.0000000
  -5.000      0.9999875  1.0000000  0.9999999  1.0000000
  -6.000      1.0000000  1.0000000  1.0000000  1.0000000
  -7.000      1.0000000  1.0000000  1.0000000  1.0000000
  -8.000      1.0000000  1.0000000  1.0000000  1.0000000
  -9.000      1.0000000  1.0000000  1.0000000  1.0000000
 -10.000      1.0000000  1.0000000  1.0000000  1.0000000
