  lnp(nb)        VC210       VC310       VC410
  16.000       7.787e+02   1.022e+03   1.172e+02
  15.000       3.196e+01   3.798e+01   7.541e+00
  14.000       1.437e+00   1.554e+00   4.944e-01
  13.000       7.225e-02   7.192e-02   3.302e-02
  12.000       4.072e-03   3.777e-03   2.245e-03
  11.000       2.525e-04   2.203e-04   1.553e-04
  10.800       1.462e-04   1.261e-04   9.118e-05
  10.600       8.480e-05   7.231e-05   5.357e-05
  10.400       4.931e-05   4.159e-05   3.150e-05
  10.200       2.874e-05   2.397e-05   1.853e-05
  10.000       1.678e-05   1.385e-05   1.091e-05
   9.800       9.818e-06   8.014e-06   6.425e-06
   9.600       5.753e-06   4.646e-06   3.787e-06
   9.400       3.376e-06   2.698e-06   2.233e-06
   9.200       1.984e-06   1.569e-06   1.317e-06
   9.000       1.168e-06   9.135e-07   7.777e-07
   8.800       6.879e-07   5.326e-07   4.594e-07
   8.600       4.057e-07   3.109e-07   2.715e-07
   8.400       2.395e-07   1.817e-07   1.605e-07
   8.200       1.434e-07   1.074e-07   9.650e-08
   8.000       8.757e-08   6.448e-08   5.939e-08
   7.800       5.983e-08   4.269e-08   4.153e-08
   7.600       4.478e-08   3.067e-08   3.213e-08
   7.400       3.408e-08   2.238e-08   2.529e-08
   7.200       2.597e-08   1.636e-08   1.992e-08
   7.000       1.987e-08   1.202e-08   1.573e-08
   6.800       1.538e-08   8.994e-09   1.251e-08
   6.600       1.201e-08   6.827e-09   1.001e-08
   6.400       9.408e-09   5.214e-09   8.027e-09
   6.200       7.387e-09   3.992e-09   6.443e-09
   6.000       5.820e-09   3.077e-09   5.180e-09
   5.800       4.599e-09   2.391e-09   4.171e-09
   5.600       3.647e-09   1.870e-09   3.364e-09
   5.400       2.911e-09   1.474e-09   2.721e-09
   5.200       2.329e-09   1.166e-09   2.203e-09
   5.000       1.866e-09   9.259e-10   1.785e-09
   4.800       1.499e-09   7.386e-10   1.447e-09
   4.600       1.206e-09   5.912e-10   1.175e-09
   4.400       9.737e-10   4.750e-10   9.544e-10
   4.200       7.880e-10   3.828e-10   7.763e-10
   4.000       6.393e-10   3.094e-10   6.321e-10
   3.800       5.185e-10   2.506e-10   5.146e-10
   3.600       4.213e-10   2.031e-10   4.192e-10
   3.400       3.431e-10   1.649e-10   3.418e-10
   3.200       2.798e-10   1.342e-10   2.788e-10
   3.000       2.290e-10   1.095e-10   2.278e-10
   2.800       1.882e-10   8.970e-11   1.866e-10
   2.600       1.549e-10   7.364e-11   1.530e-10
   2.400       1.276e-10   6.050e-11   1.255e-10
   2.200       1.054e-10   4.977e-11   1.030e-10
   2.000       8.821e-11   4.170e-11   8.513e-11
   1.800       7.482e-11   3.540e-11   7.083e-11
   1.600       6.390e-11   3.031e-11   5.913e-11
   1.400       5.496e-11   2.619e-11   4.951e-11
   1.200       4.774e-11   2.299e-11   4.164e-11
   1.000       4.187e-11   2.046e-11   3.518e-11
   0.800       3.719e-11   1.857e-11   2.997e-11
   0.600       3.323e-11   1.694e-11   2.562e-11
   0.400       2.969e-11   1.539e-11   2.191e-11
   0.200       2.648e-11   1.385e-11   1.872e-11
   0.000       2.378e-11   1.270e-11   1.606e-11
  -0.200       2.146e-11   1.178e-11   1.382e-11
  -0.400       1.942e-11   1.108e-11   1.190e-11
  -0.600       1.708e-11   1.007e-11   1.006e-11
  -0.800       1.498e-11   9.157e-12   8.489e-12
  -1.000       1.291e-11   8.121e-12   7.087e-12
  -1.200       1.093e-11   7.058e-12   5.847e-12
  -1.400       9.190e-12   6.057e-12   4.802e-12
  -1.600       7.622e-12   5.108e-12   3.868e-12
  -1.800       6.280e-12   4.281e-12   3.123e-12
  -2.000       5.160e-12   3.577e-12   2.522e-12
  -3.000       1.736e-12   1.288e-12   7.609e-13
  -4.000       5.120e-13   4.024e-13   1.956e-13
  -5.000       1.363e-13   1.113e-13   4.037e-14
  -6.000       3.769e-14   3.189e-14   7.667e-15
  -7.000       1.097e-14   9.570e-15   3.339e-15
  -8.000       3.306e-15   2.962e-15   1.652e-15
  -9.000       1.020e-15   9.357e-16   8.388e-16
 -10.000       3.195e-16   2.996e-16   4.310e-16
