
  Min     & Max     &   $S_{1i}$    & $S_{Ai}$    & $S_{Di}$    &  $I_i$         &  $Pi$      & $Ai$      \\
  1700.00 & 1750.00 &   1.31491e-06 & 6.71054e-06 & 5.78034e-07 &  0.00355128    &  1.05517   &  0.901612 \\
  1650.00 & 1700.00 &   5.19285e-07 & 2.62376e-06 & 3.08447e-07 &  0.00218156    &  1.06245   &  0.964892 \\
  1600.00 & 1650.00 &   3.85348e-07 & 1.73851e-06 & 3.34911e-07 &  0.00115310    &  1.07246   &  0.959562 \\
  1550.00 & 1600.00 &   2.96220e-07 & 1.29250e-06 & 2.61812e-07 & 0.000814814    &  1.04567   &  0.967804 \\
  1500.00 & 1550.00 &   2.35326e-07 & 1.21123e-06 & 2.27793e-07 & 0.000566574    &  1.13520   &  0.970257 \\
  1450.00 & 1500.00 &   1.86793e-07 & 5.96399e-07 & 1.48283e-07 & 0.000331058    &  1.01564   &  0.940506 \\
  1400.00 & 1450.00 &   1.96396e-07 & 5.84154e-07 & 1.82438e-07 & 0.000207013    &  1.67546   &  0.945697 \\
  1350.00 & 1400.00 &   1.04362e-07 & 5.02422e-07 & 1.45100e-07 & 0.000153277    &  1.04246   &  0.992749 \\
  1300.00 & 1350.00 &   1.74403e-07 & 6.32214e-07 & 4.03009e-07 & 0.000311075    &  1.00964   &   1.09381 \\
  1250.00 & 1300.00 &   7.12738e-08 & 2.44220e-07 & 9.56532e-08 & 9.68823e-05    &  1.15737   &   1.01121 \\
  1200.00 & 1250.00 &   8.74335e-06 & 5.02272e-05 & 1.32536e-05 &  0.00263307    &  1.46273   &  0.987493 \\
  1215.67 & 1215.67 &   6.43713e-06 & 5.16823e-05 & 1.11399e-05 &  0.00247063    &  1.26340   &  0.998295 \\
  1150.00 & 1200.00 &   1.15468e-07 & 2.74916e-07 & 1.65125e-07 & 0.000105178    &  1.66887   &   1.00997 \\
  1100.00 & 1150.00 &   7.71861e-08 & 2.15061e-07 & 1.44227e-07 & 5.16157e-05    & 0.971988   &   1.05634 \\
  1050.00 & 1100.00 &   5.84127e-08 & 3.08808e-07 & 1.25160e-07 & 4.65227e-05    &  1.58808   &   1.05327 \\
  1000.00 & 1050.00 &   2.23073e-07 & 6.92710e-07 & 5.19444e-07 & 5.44992e-05    & 0.449052   &   1.10271 \\
  1031.91 & 1031.91 &   6.18723e-08 & 1.21679e-07 & 2.28527e-07 & 3.14905e-05    &  1.42684   &   1.17863 \\
  1025.72 & 1025.72 &   1.61504e-07 & 4.38856e-07 & 2.79663e-07 & 1.06365e-05    &  1.09262   &   1.05186 \\
   950.00 & 1000.00 &   1.70358e-07 & 5.20531e-07 & 3.86006e-07 & 3.34989e-05    & 0.491283   &   1.09676 \\
   977.02 &  977.02 &   1.51857e-07 & 5.60743e-07 & 2.74541e-07 & 6.71100e-06    &  1.44918   &   1.04869 \\
   900.00 &  950.00 &   7.27646e-08 & 4.53511e-07 & 1.91513e-07 & 3.93851e-05    &  1.21476   &   1.06473 \\
   850.00 &  900.00 &   1.45264e-07 & 2.82927e-07 & 4.22856e-07 & 4.83494e-05    &  1.15579   &   1.14948 \\
   800.00 &  850.00 &   6.69560e-08 & 1.26613e-07 & 1.76066e-07 & 3.69687e-05    &  1.14722   &   1.12832 \\
   750.00 &  800.00 &   3.22816e-08 & 7.81757e-08 & 6.32959e-08 & 4.42679e-05    & 0.969748   &   1.06692 \\
   789.36 &  789.36 &   1.19733e-08 & 2.53334e-08 & 1.58546e-08 & 1.25539e-05    &  1.48302   &   1.00982 \\
   770.41 &  770.41 &   7.33597e-09 & 2.10650e-08 & 1.63125e-08 & 8.88041e-06    &  1.18634   &   1.06584 \\
   765.15 &  765.15 &   4.85967e-09 & 1.05567e-08 & 5.42104e-09 & 1.15262e-05    &  1.17912   &   1.03352 \\
   700.00 &  750.00 &   1.85139e-08 & 3.63837e-08 & 3.29576e-08 & 1.72134e-05    &  1.25328   &   1.06364 \\
   703.36 &  703.36 &   5.34708e-09 & 9.65120e-09 & 4.54419e-09 & 8.80278e-06    &  1.51207   &  0.972520 \\
   650.00 &  700.00 &   1.79851e-08 & 6.39605e-08 & 1.86000e-08 & 1.41950e-05    &  1.11181   &  0.945801 \\
   600.00 &  650.00 &   1.52595e-07 & 5.29641e-07 & 1.41837e-07 & 3.96165e-05    &  1.00554   &  0.949913 \\
