Short,    , wave, 1.00E+00,Ang,     1.000,     2.000,     4.000,     8.000,    16.000,    23.000,    32.000,    50.000,   100.000,   150.000,   200.000,   256.300,   284.150,   250.000,   303.310,   303.780,   300.000,   368.070,   350.000,   400.000,   465.220,   450.000,   500.000,   554.370,   584.330,   550.000,   609.760,   629.730,   600.000,   650.000,   703.310,   700.000,   765.150,   770.410,   789.360,   750.000,   800.000,   850.000,   900.000,   977.020,   950.000,  1025.720,  1031.910,  1000.000,  1050.000,  1100.000,  1150.000,  1215.670,  1200.000,  1250.000,  1300.000,  1350.000,  1400.000,  1450.000,  1500.000,  1550.000,  1600.000,  1650.000,  1700.000
 Long,    , wave, 1.00E+00,Ang,     2.000,     4.000,     8.000,    16.000,    23.000,    32.000,    50.000,   100.000,   150.000,   200.000,   250.000,   256.300,   284.150,   300.000,   303.310,   303.780,   350.000,   368.070,   400.000,   450.000,   465.220,   500.000,   550.000,   554.370,   584.330,   600.000,   609.760,   629.730,   650.000,   700.000,   703.310,   750.000,   765.150,   770.410,   789.360,   800.000,   850.000,   900.000,   950.000,   977.020,  1000.000,  1025.720,  1031.910,  1050.000,  1100.000,  1150.000,  1200.000,  1215.670,  1250.000,  1300.000,  1350.000,  1400.000,  1450.000,  1500.000,  1550.000,  1600.000,  1650.000,  1700.000,  1750.000
 sF107, ,model, 1.00E-08,/m2/s,     0.352,     0.352,     0.398,     1.174,    31.077,    22.387,     6.102,    12.348,    16.977,     4.037,    71.330,    48.301,     6.450,    86.763,    91.071,    52.598,    74.396,   135.439,    13.885,    39.196,     5.156,     0.960,    11.002,    11.204,     2.475,     7.916,    11.223,     2.806,     4.960,    15.260,     1.799,     0.535,     1.851,     0.486,     0.734,     1.197,     3.228,     6.696,    14.526,     7.276,    15.186,    17.036,    16.150,     6.187,    22.307,     5.841,     7.719,    11.547,   643.713,   874.335,     7.127,    17.440,    10.436,    19.640,    18.679,    23.533,    29.622,    38.535,    51.928
sF107a, ,model, 1.00E-08,/m2/s,     1.573,     1.573,     4.121,     7.140,   122.767,    79.753,    23.431,    44.364,    69.362,    22.827,   247.623,   118.898,    41.264,   600.671,   391.586,   787.164,   594.012,  1092.380,    72.125,   143.942,    28.982,     1.754,    39.619,    78.451,    26.804,    30.543,    62.989,    32.453,    24.645,    52.964,     6.396,     0.965,     3.638,     1.056,     2.107,     2.533,     7.818,    12.661,    28.293,    45.351,    56.074,    52.053,    43.886,    12.168,    69.271,    30.881,    21.506,    27.492,  5168.230,  5022.720,    24.422,    63.221,    50.242,    58.415,    59.640,   121.123,   129.250,   173.851,   262.376
sF107d, ,model, 1.00E-08,/m2/s,     0.404,     0.404,     0.472,     1.388,    37.480,    30.356,    11.059,    17.575,    28.946,     4.440,    97.894,    89.477,    10.519,    39.766,   120.177,    30.793,    40.519,    82.431,    10.181,    31.671,     3.858,     0.007,     7.371,     6.324,     5.410,     5.144,    15.609,     1.816,     3.129,    14.184,     1.860,     0.454,     3.296,     0.542,     1.631,     1.585,     6.330,    17.607,    42.286,    19.151,    27.454,    38.601,    27.966,    22.853,    51.944,    12.516,    14.423,    16.513,  1113.990,  1325.360,     9.565,    40.301,    14.510,    18.244,    14.828,    22.779,    26.181,    33.491,    30.845
 pF107, ,model, 1.00E+00,     ,     0.952,     0.952,     1.152,     0.811,     1.395,     0.706,     0.700,     1.274,     1.079,     1.091,     1.474,     1.045,     1.487,     1.206,     1.074,     0.946,     1.330,     1.226,     1.267,     1.058,     1.367,     1.623,     1.153,     1.135,     1.087,     0.844,     0.961,     0.973,     1.016,     1.006,     1.112,     1.512,     1.253,     1.179,     1.186,     1.483,     0.970,     1.147,     1.156,     1.215,     1.449,     0.491,     1.093,     1.427,     0.449,     1.588,     0.972,     1.669,     1.263,     1.463,     1.157,     1.010,     1.042,     1.675,     1.016,     1.135,     1.046,     1.072,     1.062
pF107a, ,model, 1.00E+00,     ,     0.943,     0.943,     0.917,     0.921,     0.964,     0.988,     1.048,     1.013,     1.060,     0.970,     1.012,     1.079,     1.033,     0.774,     0.958,     0.760,     0.797,     0.817,     0.891,     0.910,     0.893,    -0.204,     0.865,     0.817,     1.015,     0.881,     0.970,     0.793,     0.847,     0.950,     0.946,     0.973,     1.064,     1.034,     1.066,     1.010,     1.067,     1.128,     1.149,     1.065,     1.049,     1.097,     1.052,     1.179,     1.103,     1.053,     1.056,     1.010,     0.998,     0.987,     1.011,     1.094,     0.993,     0.946,     0.941,     0.970,     0.968,     0.960,     0.965
 Inter, ,model, 1.00E-04,/m2/s,    -0.009,    -0.009,    -0.019,    -0.036,    -0.841,    -0.562,    -0.123,    -0.135,     0.203,     0.216,     2.612,     0.535,     0.066,    -1.072,    -0.096,     0.787,     0.924,     0.435,     0.009,    -0.024,     0.164,     0.145,     0.263,     0.046,     0.012,     0.170,     0.279,     0.017,     0.159,     0.396,     0.142,     0.088,     0.172,     0.115,     0.089,     0.126,     0.443,     0.370,     0.483,     0.394,     0.067,     0.335,     0.106,     0.315,     0.545,     0.465,     0.516,     1.052,    24.706,    26.331,     0.969,     3.111,     1.533,     2.070,     3.311,     5.666,     8.148,    11.531,    21.816
   He,  He,  abs, 1.00E-22, m2,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.144,     0.479,     1.157,     1.601,     2.121,     2.595,     2.320,     2.953,     2.962,     3.544,     4.268,     4.142,     5.447,     6.563,     7.208,     0.958,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
    O,   O,  abs, 1.00E-22, m2,     0.000,     0.002,     0.012,     0.070,     0.510,     0.050,     0.160,     0.730,     1.840,     3.730,     5.200,     6.050,     7.080,     6.460,     7.680,     7.700,     8.690,     9.840,     9.690,    11.500,    11.900,    12.100,    12.100,    12.600,    13.100,    13.000,    13.400,    13.400,    13.400,    17.200,    11.500,    10.700,     4.000,     3.890,     3.750,     5.090,     3.500,     4.550,     1.320,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
   H2,  H2,  abs, 1.00E-22, m2,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.010,     0.080,     0.210,     0.430,     0.600,     0.840,     0.730,     1.020,     1.020,     1.420,     1.940,     1.900,     3.030,     3.870,     4.500,     5.360,     6.170,     7.020,     6.860,     7.810,     8.460,     8.450,     9.900,    10.730,    11.370,    10.760,     8.640,     7.340,     8.750,     8.250,     0.480,     0.190,     0.000,     0.050,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
   N2,  N2,  abs, 1.00E-22, m2,     0.000,     0.003,     0.015,     0.090,     0.480,     1.160,     0.240,     0.720,     2.260,     4.960,     8.390,    10.200,    10.900,    10.500,    11.700,    11.700,    13.900,    16.900,    16.400,    21.700,    23.200,    23.500,    24.500,    24.100,    22.400,    22.800,    22.800,    23.400,    23.300,    31.800,    26.500,    24.700,   120.000,    14.200,    16.500,    33.600,    17.000,    20.200,     9.680,     2.240,    51.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
   O2,  O2,  abs, 1.00E-22, m2,     0.000,     0.004,     0.024,     0.140,     1.020,     0.100,     0.320,     1.320,     3.810,     7.510,    10.900,    13.400,    15.800,    14.400,    16.800,    16.800,    17.400,    18.300,    18.100,    20.300,    21.900,    23.100,    24.600,    26.000,    22.800,    26.600,    28.100,    32.100,    26.000,    21.900,    27.400,    28.500,    20.800,    18.900,    26.700,    22.100,    16.600,     8.560,    12.800,    18.700,    21.100,     1.630,     1.000,     1.350,     1.000,     0.100,     0.300,     0.010,     3.000,     0.300,     2.200,    12.000,    15.000,    13.000,    10.000,     6.000,     3.400,     1.500,     0.500
   CO,  CO,  abs, 1.00E-22, m2,     0.004,     0.004,     0.004,     0.417,     0.417,     0.417,     0.417,     0.870,     2.390,     4.670,     7.010,     8.610,    10.540,     9.420,    11.870,    11.900,    13.440,    15.260,    14.960,    17.960,    20.170,    20.570,    21.090,    21.620,    22.000,    21.910,    22.100,    22.030,    21.920,    21.040,    23.850,    25.200,    26.280,    15.260,    33.130,    20.540,    22.610,    36.980,    50.320,    28.500,    52.830,     1.390,     1.390,     8.570,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
  CO2, CO2,  abs, 1.00E-22, m2,     0.004,     0.004,     0.004,     0.358,     0.358,     0.358,     0.358,     1.550,     4.610,     9.090,    14.360,    16.500,    19.020,    17.520,    21.490,    21.590,    23.570,    25.270,    24.870,    28.270,   292.520,    30.250,    31.490,    33.200,    34.200,    34.910,    35.300,    34.300,    34.450,    33.700,    23.520,    32.830,    93.840,    61.940,    26.490,    39.830,    13.980,    44.670,    52.080,    42.870,    50.310,    15.100,    14.200,    18.240,    17.400,    40.800,     0.882,     0.050,     0.081,     0.373,     0.739,     0.607,     0.524,     0.544,     0.431,     0.258,     0.126,     0.048,     0.016
  CH4, CH4,  abs, 1.00E-22, m2,     0.000,     0.000,     0.000,     0.000,     0.164,     0.421,     0.454,     0.204,     0.593,     1.496,     2.794,     3.857,     5.053,     4.360,     6.033,     6.059,     7.829,    10.165,     9.776,    14.701,    18.770,    21.449,    24.644,    27.924,    31.052,    30.697,    33.178,    35.276,    34.990,    39.280,    41.069,    42.927,    45.458,    45.716,    46.472,    45.921,    48.327,    48.968,    48.001,    41.154,    38.192,    32.700,    30.121,    29.108,    28.400,    18.000,    19.200,    17.860,    18.318,    19.068,    12.826,     3.290,     0.126,     0.001,     0.000,     0.000,     0.000,     0.000,     0.000
